,density,nelements,volume,energysStab,transition,metalloid,rare,other,HHIp wstd,NdValenc wmean,Number wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,IsFBlock wmean,IsFBlock wstd,BCCenergy_p wstd,n_ws^third wmean,AtomicVolum wmean,HeatFusion wmean,HeatFusion wstd,IsNonm wmean,IsNonm wstd,MeltingT wstd,NpUnfilled wmean,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,phi wmean,SpaceGroupNumber wstd,meanbv,meanValenceOcc,vx,strainlatticemean,strainlatticestd,Coordination,numberDensity,oxidation flexibility,positiveoxidationpop,avgIonicRadVol,deltaShannon,detLatticeVec,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens
"mp-300761797, Mn15O32, Li6Mn15O32, mp-777108, mp-761797",3.978051448209877,2.0,557.7015540347805,0.0954162305319155,1.0,0.0,0.0,2.0,85.10638297872342,0.7978723404255319,1.2659574468085109,3.3201050531914915,341.7744680851064,0.1624581723404257,0.0,0.0,0.0,0.0,0.3889468085106383,0.0,0.0,0.5781288285106383,0.2569148936170213,6331.207445687711,2.135,1.9852127659574468,0.3404255319148936,0.3404255319148936,223.73829787234044,0.6808510638297872,0.8059319871819148,4.948734409388298e-05,4.948734409388298e-05,0.7101063829787234,30.54255319148937,-0.6028870891688974,346.63829787234044,5.525436173623231,557.7015540347805,3.117646464947601,6.0,0.08427446482795507,5.914893617021277,0.3191489361702128,0.4430942010098229,0.004574675795731258,574.6004688235887,2.7968811447072315,0.003214976821033113,0.002373531637311153,0.00927045000036082,1.0981543424283684
"mp-300761800, V3Cr(PO4)6, Li6V3Cr(PO4)6, mp-775008, mp-761800",2.8280831940962523,4.0,454.84320924367927,0.022493674705881258,2.0,0.0,0.0,4.0,107.43349113428751,0.10294117647058824,1.8097648196442944,3.54229098643117,105.54361160735675,0.8064423518966914,0.0,0.0,0.0,0.0,0.21001470588235294,0.0,0.0,0.5248553128014679,0.12169117647058825,3282.61503204987,1.4854411764705884,1.2127178843222428,0.22058823529411767,0.2892987584250883,61.17952919390229,0.4852941176470589,0.4370199492279412,0.0,0.0,0.3727941176470588,7.171798141422753,0.14776666498537813,32196.941176470587,8.156069791453866,454.84320924367927,2.5426508374325625,4.235294117647058,0.07475103356283093,5.0,0.29411764705882354,0.5280427043851468,0.0030553509162647165,468.62541332697197,1.6269784336399211,0.0013034540716853741,0.0014777153900578563,0.006852081553898851,0.8002126844502836
"mp-300761801, V2CoO6, LiV2CoO6, mp-778411, mp-761801",4.179227528441542,3.0,102.03974454569466,0.09323271000000057,2.0,0.0,0.0,3.0,185.99821525169955,0.4814814814814814,1.051486634561362,2.112416417115829,311.8206739055272,0.5589168937239412,0.0,0.0,0.0,0.0,0.25581481481481483,0.0,0.0,0.5091942318184189,0.18629629629629627,4133.032172446721,2.2414814814814807,1.9162423219646152,0.2222222222222222,0.31426968052735443,185.62867074328912,0.4444444444444444,0.5141683090740741,0.05735078518518519,0.08110625822163486,0.5037037037037037,17.899889264051186,-0.13068743044244285,30009.444444444438,5.173298083943188,102.03974454569466,0.5704195130272087,5.0,0.08820092641421391,4.666666666666667,0.3333333333333333,0.4500931397175639,0.01897906160505401,105.13165084517377,0.9428090415820634,0.009036667633747851,0.012972614627493191,0.038544392783083366,1.1509378862336654
"mp-300761806, NbCo3O8, Li2NbCo3O8, mp-761589, mp-761806",5.100027934144904,3.0,258.97829264351606,0.07425313958333213,2.0,0.0,0.0,3.0,194.40475785469658,0.6944444444444445,1.3659212059049164,2.8667909008115338,302.12904006707436,0.6851393877556406,0.0,0.0,0.0,0.0,0.24644444444444444,0.0,0.0,0.4036060862417111,0.1913888888888889,4133.015751304024,2.2322222222222217,1.604739123446857,0.2222222222222222,0.31426968052735443,165.59953256330522,0.4444444444444444,0.5188119468055555,0.12903926666666668,0.18248908099867844,0.5375,17.089407230977113,-0.23375218164535866,29913.08333333333,5.405632963495249,258.97829264351606,1.4477326676193478,5.666666666666668,0.09267185969534528,4.666666666666667,0.3333333333333333,0.4204719035314681,0.007944747236366503,266.82559388890724,0.9428090415820634,0.004305571507956165,0.005111325235668506,0.015186832661178304,1.3941691071617444
"mp-300761812, LiCo2(PO4)2, LiCoPO4, mp-767947, mp-761812",2.9273270019997497,4.0,714.1734617678787,0.02330617028846227,1.0,0.0,0.0,4.0,92.20747765182196,0.2692307692307693,1.81249362373904,3.727798531703736,176.64295834741844,0.7113042131032499,0.019230769230769232,0.03330866937632456,0.0,0.0,0.2558846153846154,0.0,0.0,0.5014617269179724,0.14961538461538462,2862.260410672973,1.4276923076923076,1.2515609189039942,0.19230769230769232,0.2522091740116155,101.00336003458807,0.4230769230769231,0.3849274100961539,0.05955658461538463,0.10315503047912113,0.464423076923077,11.126940360006788,0.11990397547346905,28189.46153846154,9.478219511,714.1734617678787,3.9923510205982833,4.0,0.07281144257485878,4.615384615384615,0.38461538461538464,0.5783626500572875,0.002483857002664383,735.8136318329073,1.9821690348807883,0.0015330438491864655,0.0009411282361275232,0.0055071494585065784,0.8208600301348585
"mp-300761829, CoPO4, LiCoPO4, mp-851068, mp-761829",2.657197490828854,3.0,2308.27711888027,0.013672575347221105,1.0,0.0,0.0,3.0,86.42416214502245,0.3888888888888888,1.18894080883515,2.4203050312401047,215.91449224858195,0.42400731758427396,0.0,0.0,0.0,0.0,0.27011111111111114,0.0,0.0,0.3515130098797233,0.18888888888888888,4133.777702692075,1.9788888888888885,1.3053233836113058,0.2777777777777777,0.28327886186626583,118.02039397943784,0.6111111111111109,0.5558853665277778,0.08602617777777777,0.12165938733245228,0.5916666666666667,13.641802132859821,0.1503514571686409,30370.83333333333,9.63388781712804,2308.2771188802703,12.903661371809127,4.0,0.06238419071183856,5.0,0.3333333333333333,0.6245151530303978,0.0007148244790712477,2378.22022385946,1.5275252316519468,0.0004541766979160207,0.0002911820270040782,0.001703894199307682,0.7467769309933135
"mp-300761831, LiCr(CoO3)2, Li3Cr(CoO3)2, mp-779929, mp-761831",4.292381167117851,4.0,105.53462457149048,0.07081088302083316,2.0,0.0,0.0,4.0,138.74436925511608,0.475,2.0277758751893664,4.258703325191565,220.6094361082499,0.662886957285696,0.025,0.04330127018922194,0.0,0.0,0.259525,0.0,0.0,0.5117107192094172,0.15525,2790.22029289641,1.4429999999999998,1.2928677426558373,0.15,0.2598076211353316,132.40134993717965,0.3,0.34970270025,0.07742356,0.13410153962285742,0.4425,11.172399026171597,-0.28185573022001986,27083.0,6.145968573818423,105.53462457149048,0.5899564863044261,6.0,0.09475563153423523,4.4,0.4,0.4257092106564598,0.021022183450837,108.73242923063114,1.9595917942265424,0.010626075887670668,0.012543014087120205,0.03726795835228881,1.186398583318501
"mp-300761910, LiCuF4, Li3Cu2F8, mp-753273, mp-761910",3.7214263552548976,3.0,261.44465643702927,0.016865182083334318,1.0,0.0,0.0,3.0,307.61929333126955,0.5555555555555555,2.366171048782984,5.0084288287948375,195.01044654512333,0.7360352762883965,0.05555555555555555,0.07856742013183861,0.0,0.0,0.4035,0.0,0.0,0.12862350766502545,0.1361111111111111,4135.5449038514535,0.9788888888888888,0.9205084477988976,0.2222222222222222,0.31426968052735443,82.08362484249797,0.2222222222222222,0.19569861,0.0,0.0,0.4055555555555556,13.123581639999365,-0.3232383164410158,5283.0,4.511739420933508,261.4446564370293,1.4615200603681835,6.0,0.0917976306231394,0.5,0.3333333333333333,0.8281204837253419,0.020831503375317532,269.36669097172785,1.118033988749895,0.007460268047766786,0.00835950477415772,0.026039504919126245,1.0097759267070947
"mp-300761911, LiCu(PO3)4, Li2Cu(PO3)4, mp-757306, mp-761911",2.607606303867493,4.0,492.0915187602352,0.013573457974536574,1.0,0.0,0.0,4.0,140.01625787434756,0.1388888888888889,1.9305055948771173,3.826494400239828,43.70194388916079,1.0130940644572832,0.013888888888888888,0.024056261216234408,0.0,0.0,0.25081944444444443,0.0,0.0,0.6312520676659474,0.12569444444444444,3100.7305067382104,1.2972222222222218,1.6479844592039623,0.2222222222222222,0.2721655269759087,21.49923613522462,0.5,0.4232846469444445,0.0,0.0,0.4097222222222222,4.97346353220498,0.1244567761246624,30622.33333333333,7.3231788703549405,492.091518760235,2.750875217747496,4.055555555555555,0.0731571234771484,4.611111111111111,0.3333333333333333,0.5582094248308004,0.0027117061118573822,507.0023838701893,2.031389477642469,0.001191738101009786,0.0013658613992292286,0.006626015305499256,0.7416138699976403
"mp-300761972, Li3Mn7O16, Li7Mn14O32, mp-770710, mp-761972",3.9413914467301567,3.0,278.64442625421304,0.036648971730770086,1.0,0.0,0.0,3.0,52.8292250718885,0.4487179487179487,2.686991087543181,5.792611755053084,245.12837729314842,0.9161376187547404,0.038461538461538464,0.05439282932204212,0.0,0.0,0.3690641025641026,0.0,0.0,0.8927065400579289,0.1821794871794872,3815.708663709349,1.319102564102564,1.5274192287413206,0.20512820512820515,0.290095089717558,172.6664847528418,0.4102564102564103,0.4848305454151282,2.7831343943397443e-05,3.9359464063822946e-05,0.5089743589743589,21.059143102659174,-0.5232211783120121,326.0,5.537167035753762,278.644426254213,1.5576696966396155,5.038461538461538,0.0933088823972372,5.153846153846153,0.38461538461538464,0.4148838387107467,0.009269103532804877,287.08763101414195,3.1948553318915685,0.006038250902161766,0.004750578723119651,0.01855463050635771,1.0867761836267718
