,chargedensityvoldens,HeatFusion wmean,numberDensity,IsFBlock wmean,GSvolume_p wmean,ICSDVolum wmean,energysStab,metalloid,Crystal System,AtomicNum Density,density
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",1.3575841205330577,5.073333333333333,0.07361685668259631,0.0,6.065,8.811666666666666,0.28384010833333306,0.0,5.0,19.0,5.089621942317269
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.9821253529274228,2.4316666666666658,0.07988563683524816,0.0,5.816666666666666,8.731666666666666,0.17869182333333278,0.0,7.0,12.666666666666664,3.5314848916100865
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",0.8760648417394064,4.292222222222224,0.08289279941408745,0.0,4.155555555555557,5.9951851851851865,0.039459981388889176,1.0,1.0,10.888888888888893,3.059342109633916
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",0.9999653812108088,4.073666666666667,0.0551927856550113,0.0,10.460625,10.588333333333333,0.020420569166667242,0.0,2.0,18.666666666666668,3.5476434031701705
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",0.9897795507370932,2.725333333333333,0.05367215057389359,0.0,10.343556034483331,10.62,0.012788893333333108,0.0,2.0,19.0,3.5373010650254666
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",1.2488412424824966,3.455,0.06955039897140318,0.0,5.04375,7.2925,0.15721317062499995,0.0,3.0,18.5,4.593394641387274
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",1.455229293599596,2.124912280701754,0.06430510097533677,0.0,7.336140350877192,9.022631578947367,0.05187435893091852,0.0,1.0,23.315789473684212,5.73257235072325
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",1.373826652048727,1.7078787878787878,0.06303645630670858,0.0,6.5157575757575765,8.040909090909091,0.05537752045454525,0.0,3.0,22.454545454545453,5.341143320887457
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",1.036934667871735,0.8557142857142858,0.044781339980242016,0.0,13.258932676519045,10.32095238095238,0.04259218499999928,0.0,3.0,23.857142857142854,4.0871712706275565
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",1.161874027229824,2.375,0.08550571229492249,0.0,4.823333333333333,7.749999999999999,0.13752982229166744,0.0,4.0,14.0,4.157517139858353
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",1.1105048722921946,3.5733333333333333,0.08581157103206408,0.0,4.9,7.788333333333332,0.19124211833333504,0.0,2.0,13.333333333333336,3.989574461114087
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",1.0886504308925509,2.1410000000000005,0.07578632618912337,0.0,3.9605,5.877999999999999,0.08697577989583394,1.0,1.0,14.8,3.997930651108777
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",1.0134898760908424,1.9788888888888885,0.08466483509402199,0.0,3.8464021164,5.530555555555555,0.036101164583333116,0.0,3.0,12.333333333333336,3.606221140423988
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",1.554425928378526,3.432424242424243,0.06500661429069213,0.030303030303030307,4.261060606060607,6.214545454545455,0.08945500903409176,0.0,2.0,24.63636363636364,6.24696188168362
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.4203932806705349,18.025185185185183,0.04696607900256862,0.0,2.5638888888888887,3.823703703703704,0.5179632777083318,0.0,7.0,9.222222222222221,1.48156222979313
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",1.0509182200866258,1.8461111111111108,0.08899414463617568,0.0,3.873346560844445,5.567222222222222,0.022519999583334286,0.0,3.0,12.166666666666664,3.714562779454384
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.8641579681483605,2.536666666666666,0.06955803271415814,0.0,4.152182539679999,5.836333333333332,0.0,0.0,1.0,12.8,3.1172555035542566
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.9404473801752872,1.7961111111111108,0.08074532302016486,0.0,3.8598791278944447,5.590555555555555,0.0025792862500004787,0.0,3.0,12.0,3.349994326171457
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.9000354210497813,4.564444444444447,0.08430067221300099,0.0,4.019259259259258,5.854814814814818,0.06949562388888708,1.0,1.0,11.0,3.1591230460285664
