,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean,sq_pyr
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",0.559525905,4133.484741,4.01135002,2.123888889,1,0.841474176,8.693690063,0,0.032982299,11.79636897,0.259828378,0.256961099,0.169444444,0.744221537
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",0.582159939,4509.186359,3.335859027,2.59969697,0,0.854139477,14.44439323,0,0.008177761,13.06357626,0.267232921,0.283413658,0.155454545,0.245996207
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",0.432015247,6199.370712,4.524967873,2.34,0,1.211466613,23.33333333,0,0.168297135,33.5,0.373193628,0.241833333,0.245,0.630203744
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",0.519900422,3322.008845,2.978432036,1.208035714,0,0.973769878,6.60888008,0,0,10.92617854,0.275142287,0.184202179,0.113214286,0.314124973
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",0.499494655,3321.801475,3.488984535,1.188392857,0,0.970075361,8.457803425,0,0.152834902,12.80405707,0.280970447,0.187919884,0.111428571,0.449406706
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",0.613681073,6200.338442,2.445862089,2.431666667,0,5.70530989,18.33333333,0,0.151422851,28.33333333,0.327766669,0.218666667,0.253333333,0.158106943
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",0.546421107,3321.771686,3.161288219,1.28125,0,0.985416908,10.92664549,0,0.094068209,10.92617854,0.291261639,0.18692617,0.121428571,0.347747866
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",0.48935176,4133.838651,3.57809773,2.245555556,0,0.848419323,12.16171893,0,0.032803285,16.33049862,0.279582164,0.241634979,0.187777778,0.7908579
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",0.508066341,3321.810868,3.236592164,1.452678571,0,0.981330371,9.691872779,0,0.038265921,13.04720628,0.280611744,0.186168031,0.120714286,0.43025514
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",0.512031149,3321.815145,3.30946746,1.16375,0,0.979382992,7.224797857,0,0.032228883,12.31827082,0.279441609,0.185370258,0.116428571,0.446214945
"mp-300025576, MoO2, Li(MoO2)2, mp-714969, mp-25576",0.583062698,6199.982536,4.624620031,6.32,0,1.196288514,38.33333333,0,0.234657459,34.16666667,0.380062994,0.264166667,0.295,0.654170518
"mp-300025605, NiPO4F, LiNiPO4F, mp-25589, mp-504104",0.52417838,3321.769737,3.285405696,1.326964286,0,0.994591414,10.92664549,0,0.206040662,12.80405707,0.282507727,0.186302458,0.121428571,0.428621326
"mp-300025613, NiAsO4, LiNiAsO4, mp-635257, mp-25613",0.532840591,4133.414106,4.46833401,2.377777778,1,0.84540174,13.36200621,0,0.145951031,12.26432143,0.268511668,0.258251827,0.177222222,0.746185302
"mp-300025614, NiPO4, LiNi2(PO4)2, mp-540008, mp-767051",0.498101078,4133.774671,3.715804117,2.05,0,0.848093985,13.73042939,0,0.10302385,16.02216828,0.288818201,0.241861467,0.188888889,0.751593059
"mp-300025630, VPO4F, LiVPO4F, mp-25616, mp-25619",0.51682523,3321.873438,3.113354662,1.470535714,0,0.97465939,9.691872779,0,0,13.04720628,0.264829315,0.185107704,0.1175,0.286330223
"mp-300025637, VPO4, LiV2(PO4)2, mp-32453, mp-767232",0.547234927,4133.935983,3.291355977,2.273333333,0,0.844978433,12.16171893,0,0.023699428,16.33049862,0.27198307,0.239838539,0.182777778,0.52275813
"mp-300025652, PWO4F, LiPWO4F, mp-25651, mp-25652",0.585492536,3321.94536,4.966421762,2.570892857,0,0.959063379,18.96031705,0.866025404,0,13.04720628,0.287853078,0.195477473,0.123571429,0.33931549
"mp-300025660, Co2P3O10, LiCo2P3O10, mp-25658, mp-25660",0.519999686,4133.969017,3.489565941,2.004888889,0,0.846077402,10.8324615,0,0.024164657,10.67462666,0.278530535,0.242320671,0.187777778,0.357732238
"mp-300025688, FePO4F, LiFePO4F, mp-25518, mp-25515",0.561186616,3321.799597,3.025646568,1.195892857,0,0.979271359,10.30918701,0,0.078480273,13.04720628,0.285810648,0.186168031,0.122142857,0.326311621
"mp-300025742, Cr(GeO3)2, LiCr(GeO3)2, mvc-8434, mp-25742",0.550696987,4133.725848,4.095158426,3.562962963,1,0.858013903,8.380524814,0,0.111256567,17.22815509,0.263063267,0.260123918,0.165555556,0.326561943
"mp-300025881, Bi(PO3)4, LiBi(PO3)4, mp-684096, mp-25881",0.6128604,4377.543254,3.274451502,1.723647059,0,0.80674428,1.085715153,0.388215488,0.038258244,3.717018231,0.235583017,0.270594595,0.152156863,0.199155866
"mp-300025885, CuPO4, LiCuPO4, mp-25886, mp-25885",0.518599676,4133.824041,3.712119709,1.834444444,0,1.11868552,10.5937904,0,0.073906919,16.02216828,0.28348346,0.244565841,0.173333333,0.476480558
"mp-300025907, Sn(PO3)4, LiSn(PO3)4, mp-25908, mp-25907",0.615933384,4377.37626,2.807287613,1.646078431,0,0.802403465,1.453627686,0,0.004442117,3.730337404,0.304872845,0.268536497,0.15372549,0.192922419
"mp-300025929, Bi2(PO4)3, LiBi2(PO4)3, mp-26074, mp-504151",0.588261732,4377.68579,4.38350347,1.577882353,0,1.105191186,1.489938058,0.776430975,0.069469632,3.603151254,0.272096791,0.274606869,0.14254902,0.380602233
"mp-300025959, Bi(PO3)4, LiBi(PO3)4, mp-25960, mp-25959",0.625153584,4377.543254,3.170474966,1.723647059,0,0.960710619,1.085715153,0.388215488,0.061403462,3.717018231,0.259771785,0.270594595,0.152156863,0.288108856
"mp-300026113, Ti(PO3)4, LiTi(PO3)4, mp-26114, mp-26113",0.612902617,4377.19331,2.398457001,1.783333333,0,0.802842727,2.659158982,0,0.002196036,4.623128589,0.308088645,0.262802429,0.159215686,0.200490003
"mp-300026129, BiP2O7, LiBiP2O7, mp-672945, mp-26129",0.568979086,4341.243062,4.507793001,1.657533333,0,0.82345248,1.302134999,0.659966329,0.094345629,3.597530017,0.270155555,0.27005764,0.148666667,0.369300799
"mp-300026173, Bi3(PO5)2, LiBi3(PO5)2, mp-584116, mp-26173",0.565660295,4135.218895,6.060290116,1.613288889,0,0.970102834,2.645657985,1.319932658,0.077812112,3.261144236,0.26319371,0.260541074,0.150666667,0.395960695
"mp-300026209, BiP2O7, LiBiP2O7, mp-26210, mp-26209",0.607833215,4341.243062,3.966736534,1.657533333,0,0.88889562,1.302134999,0.659966329,0.038440045,3.597530017,0.275555166,0.27005764,0.148666667,0.470393099
"mp-300026299, SnPO4, LiSnPO4, mp-672986, mp-26299",0.669124817,4134.664976,3.462265154,1.476111111,0,0.832310621,4.192144329,0,0.284711636,9.636286873,0.237888551,0.252085119,0.160555556,0.262674641
"mp-300026303, Cu9(PO4)8, Li6Cu9(PO4)8, mp-26304, mp-26303",0.552268386,4049.54076,3.598288489,1.88952381,0,0.952411323,11.72148127,0,0.005819699,17.82311108,0.261490823,0.237409515,0.179795918,0.265021841
"mp-300026341, SbP2O7, LiSbP2O7, mp-26342, mp-26341",0.598235697,4341.066661,3.331913569,1.947,1,0.885960218,1.715290711,0,0.035393023,6.613790307,0.273970274,0.267374199,0.152,0.371028027
"mp-300026389, Nb2(PO4)3, LiNb2(PO4)3, mp-26390, mp-26389",0.587064907,4377.000248,3.178785055,2.318823529,0,0.803055216,9.005487669,0,0.004102713,11.12551162,0.248063533,0.269535182,0.161372549,0.182581566
"mp-300026407, SnP2O7, Li2SnP2O7, mp-757076, mp-26407",0.583086836,4340.959173,3.460370933,1.525666667,0,0.843934056,2.39072281,0,0.002021006,5.619213073,0.259910253,0.266747625,0.151333333,0.320994868
"mp-300026409, Ti(PO3)4, LiTi(PO3)4, mp-540258, mp-26409",0.5460976,4377.19331,2.727375099,1.783333333,0,0.981248803,2.659158982,0,0.038597588,4.623128589,0.264497141,0.262802429,0.159215686,0.322843117
"mp-300026513, CuPO4, LiCuPO4, mp-673047, mp-26513",0.619273958,4133.824041,2.967791726,1.834444444,0,1.024437622,10.5937904,0,0.092376923,16.02216828,0.236865596,0.244565841,0.173333333,0.410617736
"mp-300026531, Cu2P3O10, LiCu2P3O10, mp-26532, mp-26531",0.525632122,4134.006087,3.547902834,1.889333333,0,0.856705991,8.32956952,0,0.036976437,12.5517595,0.273132509,0.243765317,0.175333333,0.372896728
"mp-300026541, Sb(PO3)4, LiSb(PO3)4, mp-26542, mp-26541",0.604650216,4377.439488,2.890759685,1.893921569,1,0.815639297,1.193343063,0,0.035760932,4.110357694,0.256346458,0.268927299,0.154117647,0.225664788
"mp-300026549, Nb(PO3)4, LiNb(PO3)4, mp-26550, mp-26549",0.627852176,4377.200483,2.551704903,2.094117647,0,0.801486998,4.237835113,0,0.021688361,5.354126135,0.278341328,0.267795565,0.161568627,0.224255825
"mp-300026629, TiP2O7, LiTiP2O7, mp-26630, mp-26629",0.554121511,4340.648158,2.721553172,1.759,0,0.877656024,4.752543179,0,0.007411827,7.788880964,0.264531353,0.25766978,0.160666667,0.213955905
"mp-300026649, SnP2O7, Li2SnP2O7, mp-757192, mp-26649",0.581328986,4340.959173,3.474961045,1.525666667,0,0.90296022,2.39072281,0,0,5.619213073,0.26809422,0.266747625,0.151333333,0.283641383
"mp-300026675, Sb(PO3)4, LiSb(PO3)4, mp-673069, mp-26675",0.590697822,4377.439488,2.992778252,1.893921569,1,0.810357968,1.193343063,0,0.052182198,4.110357694,0.24347195,0.268927299,0.154117647,0.215125288
"mp-300026695, CuPO4, LiCuPO4, mp-753519, mp-25449",0.578860408,4133.824041,3.24744397,1.834444444,0,0.840154199,10.5937904,0,0,16.02216828,0.233848521,0.244565841,0.173333333,0.31357009
"mp-300026725, SnPO4, LiSnPO4, mp-673078, mp-26725",0.642445635,4134.664976,3.741435083,1.476111111,0,0.950607656,4.192144329,0,0.173101712,9.636286873,0.279710945,0.252085119,0.160555556,0.367431718
"mp-300026741, Cu4(PO4)3, LiCu4(PO4)3, mp-26742, mp-26741",0.543578448,3916.461897,3.881749053,1.976491228,0,0.955293315,13.50327981,0,0.01723368,20.68253643,0.261475057,0.226193048,0.19,0.33128899
"mp-300026767, Nb(PO3)4, LiNb(PO3)4, mp-673088, mp-26767",0.560630178,4377.200483,3.012625783,2.094117647,0,0.964507097,4.237835113,0,0.032938288,5.354126135,0.293588117,0.267795565,0.161568627,0.491797388
"mp-300026795, Cu5P3O13, LiCu5P3O13, mp-26796, mp-26795",0.550558851,3838.767543,4.030603879,2.007619048,0,0.82268326,15.35650095,0,0.007494385,23.61626328,0.237343891,0.220517917,0.195238095,0.333158334
"mp-300026823, Cu3(P2O7)2, Li2Cu3(P2O7)2, mp-673105, mp-26823",0.550680703,4133.954074,3.390568686,1.873650794,0,0.87134171,8.97509221,0,0.004569367,13.53902192,0.269393773,0.24388734,0.174761905,0.218855423
"mp-300026835, Bi5(PO4)6, Li3Bi5(PO4)6, mp-673116, mp-26835",0.595659003,4252.946991,4.822083509,1.638571429,0,1.05714611,1.814579404,0.942809042,0.127713669,3.439981016,0.204639412,0.265699065,0.14952381,0.22430324
"mp-300026875, CuPO4, LiCuPO4, mp-673017, mp-26467",0.585544174,4133.824041,3.195904876,1.834444444,0,0.840224559,10.5937904,0,0.117101246,16.02216828,0.280400366,0.244565841,0.173333333,0.426976734
"mp-300026897, Sn(PO3)3, LiSn(PO3)3, mp-673129, mp-26897",0.629758611,4293.368812,2.92895144,1.66025641,0,0.953354516,1.827181718,0,0.056085466,4.4202332,0.267801014,0.261927375,0.158717949,0.260384023
"mp-300026949, Sn2(PO3)5, LiSn2(PO3)5, mp-26950, mp-26949",0.613750926,4228.453965,3.238797941,1.671212121,0,0.818827303,2.153541513,0,0.036381709,5.099739816,0.262622643,0.256826165,0.162575758,0.272948966
"mp-300027017, SnPO4, LiSnPO4, mp-27018, mp-27017",0.638356935,4134.664976,3.784219087,1.476111111,0,0.821146224,4.192144329,0,0.055524935,9.636286873,0.264042223,0.252085119,0.160555556,0.336472225
"mp-300031519, CoP2O7, LiCoP2O7, mp-31529, mp-31519",0.514663193,4340.426809,3.223637273,1.827333333,0,0.912481031,8.017203724,0,0.091783532,7.788880964,0.271831901,0.260768646,0.168333333,0.477337296
"mp-300031537, CoPO4, LiCoPO4, mp-31532, mp-31537",0.551268909,4133.777703,3.409633469,1.978888889,0,0.947754509,13.73042939,0,0.127204589,13.64180213,0.244630404,0.242908775,0.188888889,0.291094216
"mp-300031540, CoPO4, LiCoPO4, mp-31521, mp-31540",0.482461034,4133.777703,3.856484373,1.978888889,0,0.940679114,13.73042939,0,0.012862227,13.64180213,0.29296087,0.242908775,0.188888889,0.526519913
"mp-300031541, CoPO4, LiCoPO4, mp-704240, mp-31541",0.613769155,4133.777703,2.934732272,1.978888889,0,1.011163504,13.73042939,0,0.017925938,13.64180213,0.251436436,0.242908775,0.188888889,0.408339833
