,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",1.709800136,1.02974359,0.071342412,0,24.69230769,16.79745426,19.15802769,0,0,3817.936663,0.039383371
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",1.132741304,3.296666667,0.076112902,0,15.33333333,4.063897623,11.0044963,1,0.078172696,4133.71416,0.019455412
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",1.088523605,2.123888889,0.074767131,0,15,1.361679907,10.76984694,1,1.72E-05,4133.484741,0.016106536
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",0.915607274,2.59969697,0.069410448,0,13.59090909,3.881195474,9.648358879,0,0,4509.186359,0.003156274
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",1.245683688,2.34,0.085561943,0,15,5.257866667,15.92413333,0,0,6199.370712,0.01558331
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",0.839057893,1.208035714,0.077581735,0,11.14285714,2.432214818,5.779884471,0,8.05E-07,3322.008845,0.037726276
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",0.976490136,1.188392857,0.082853545,0,12.14285714,2.835757875,6.339848757,0,0,3321.801475,0.040289841
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",0.680207686,2.431666667,0.055327789,0,12.66666667,2.6447,13.31096667,0,3.76E-06,6200.338442,0.061812471
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",0.887006037,1.28125,0.077074487,0,11.85714286,2.687147342,6.175105721,0,0.055302543,3321.771686,0.037479613
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",1.010360065,2.245555556,0.087969717,0,11.83333333,2.274759907,8.164859,0,0,4133.838651,0.011423684
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",0.911897469,1.452678571,0.082208776,0,11.42857143,2.508590724,5.927352329,0,0,3321.810868,0.039976304
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",0.927641612,1.16375,0.082595686,0,11.57142857,2.577109562,6.032421793,0,1.11E-05,3321.815145,0.04016445
"mp-300025576, MoO2, Li(MoO2)2, mp-714969, mp-25576",1.225430247,6.32,0.065304932,0,19.33333333,10.6602,21.32646667,0,0,6199.982536,0.010888481
"mp-300025605, NiPO4F, LiNiPO4F, mp-25589, mp-504104",0.93423345,1.326964286,0.080211805,0,12,2.68002733,6.166541614,0,0.021264096,3321.769737,0.039005221
"mp-300025613, NiAsO4, LiNiAsO4, mp-635257, mp-25613",1.229138338,2.377777778,0.081702094,0,15.5,1.126042437,10.97847778,1,0.033077483,4133.414106,0.004615182
"mp-300025614, NiPO4, LiNi2(PO4)2, mp-540008, mp-767051",1.060050625,2.05,0.087373698,0,12.5,2.413367317,8.536931222,0,0.033077483,4133.774671,0.00493556
"mp-300025630, VPO4F, LiVPO4F, mp-25616, mp-25619",0.871750457,1.470535714,0.079584273,0,11.28571429,2.486813321,5.889688043,0,0,3321.873438,0.038700066
"mp-300025637, VPO4, LiV2(PO4)2, mp-32453, mp-767232",0.922924424,2.273333333,0.081504853,0,11.66666667,2.263332368,8.106270111,0,0,4133.935983,0.009431086
"mp-300025652, PWO4F, LiPWO4F, mp-25651, mp-25652",1.267169863,2.570892857,0.070299728,0.5,18.57142857,9.324229902,10.63606304,0,0,3321.94536,0.034185198
"mp-300025660, Co2P3O10, LiCo2P3O10, mp-25658, mp-25660",0.984675192,2.004888889,0.085014958,0,11.93333333,1.845346861,8.2395928,0,0.068820942,4133.969017,0.011145631
"mp-300025688, FePO4F, LiFePO4F, mp-25518, mp-25515",0.853971581,1.195892857,0.075108956,0,11.71428571,2.60043802,6.064813043,0,0.075380814,3321.799597,0.036523819
"mp-300025742, Cr(GeO3)2, LiCr(GeO3)2, mvc-8434, mp-25742",1.110005406,3.562962963,0.075682038,0,15.11111111,4.233705247,10.86194444,1,0,4133.725848,0.00655201
"mp-300025881, Bi(PO3)4, LiBi(PO3)4, mp-684096, mp-25881",0.871511218,1.723647059,0.063868707,0.274509804,14.05882353,2.162683723,10.29153427,0,0,4377.543254,0.005800795
