,density,energy_per_atom,nsites,nelements,bandgap,volume,Unit Cell Mass,energy,formationenergy_pa,total_magnetization,energysStab,atomMean,atomStd,halogen,transition,actinoid,chalcogen,metalloid,rare,other,alkaline,FirstIonizationEnergy wmean,FirstIonizationEnergy wstd,ICSDVolum wmean,ICSDVolum wstd,HHIp wmean,HHIp wstd,NdValenc wmean,NdValenc wstd,IsMetalloid wmean,IsMetalloid wstd,Electronegativity wmean,Electronegativity wstd,BulkModulus wmean,BulkModulus wstd,GSenergy_p wmean,GSenergy_p wstd,Polarizability wmean,Polarizability wstd,Number wmean,Number wstd,AtomicWeigh wmean,AtomicWeigh wstd,BoilingT wmean,BoilingT wstd,HHIr wmean,HHIr wstd,BCCfermi wmean,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,IsFBlock wmean,IsFBlock wstd,NsValenc wmean,NsValenc wstd,NdUnfilled wmean,NdUnfilled wstd,HeatCapacityMolar wmean,HeatCapacityMolar wstd,NfUnfilled wmean,NfUnfilled wstd,BCCenergy_p wmean,BCCenergy_p wstd,MiracleRadius wmean,MiracleRadius wstd,n_ws^third wmean,n_ws^third wstd,AtomicVolum wmean,AtomicVolum wstd,MendeleevNumber wmean,MendeleevNumber wstd,IsDBlock wmean,IsDBlock wstd,BCCefflatcn wmean,BCCefflatcn wstd,NsUnfilled wmean,NsUnfilled wstd,Density wmean,Density wstd,BCCmagmom wmean,BCCmagmom wstd,Column wmean,Column wstd,HeatFusion wmean,HeatFusion wstd,GSefflatcn wmean,GSefflatcn wstd,BCCvolume_padiff wmean,BCCvolume_padiff wstd,IsNonm wmean,IsNonm wstd,MeltingT wmean,MeltingT wstd,GSestBCClatcn wmean,GSestBCClatcn wstd,CovalentRadius wmean,CovalentRadius wstd,GSvolume_p wmean,GSvolume_p wstd,GSestFCClatcn wmean,GSestFCClatcn wstd,BCCbandgap wmean,BCCbandgap wstd,NpUnfilled wmean,NpUnfilled wstd,BCCenergydiff wmean,BCCenergydiff wstd,ShearModulus wmean,ShearModulus wstd,NValanc wmean,NValanc wstd,NpValenc wmean,NpValenc wstd,GSmagmom wmean,GSmagmom wstd,phi wmean,phi wstd,IsM wmean,IsM wstd,SpaceGroupNumber wmean,SpaceGroupNumber wstd,NUnfilled wmean,NUnfilled wstd,BCCvolume_p wmean,BCCvolume_p wstd,Row wmean,Row wstd,GSbandgap wmean,GSbandgap wstd,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc,vx,vy,vz,VegardVolume,Hall Number,strainlatticemean,strainlatticestd,Forces,avgCentralDistance,Coordination,numberDensity,initialAnisotropy,li-ion fittability,maxForce,oxidation flexibility,ShannonRadii,NNDist,positiveoxidationpop,avgIonicRadVol,SpaceGroup,strainvolumeflexibility,Xcm,Ycm,Zcm,volume flexibility of cell,AtomicNum Density,deltaShannon,volumeshannonflex,detLatticeVec,angle anisotropy,avgCentralDistance Std,initialAnisotropy Std,oxidation flexibility Std,NNDist Std,deltaShannon.1
"mp-300540083, Mo(PO4)2, LiMo(PO4)2, mp-704210, mp-540083",2.9684750942154783,-7.095922461363636,132.0,3.0,1.7412,1919.043448140345,3430.592688,-936.6617649,-2.367961162835498,0.0001006,0.010016498409090243,12.363636363636365,9.744674324262991,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.151824545454546,4.09992328150846,5.831818181818183,4.875167695074336,315.1515151515152,68.56793029687732,0.15151515151515152,0.2142747821777417,0.0,0.0,1.0321212121212122,1.0424936551942623,7.636363636363638,9.420685287958932,-1.8091351846969697,1.1669747610073915,0.8023030303030304,0.25741419532001303,4.121212121212122,1.2799219443601741,8.663718909090909,2.4516252864520927,204.23636363636365,171.93687546889268,590.9090909090909,242.68924909304152,1.617000490909091,0.6109569194151443,0.0,0.0,0.0,0.0,0.2767575757575758,0.28048995241682945,0.0,0.0,0.6363636363636364,0.5891582453098054,0.15151515151515152,0.2142747821777417,9.29490909090909,8.580198465536157,0.0,0.0,-1.2087937287878792,0.41386570291260455,25.90909090909091,14.790176175244358,0.15363636363636365,0.12258240608256855,4509.378983522312,6372.601318170953,27.63636363636364,25.563834647276177,0.030303030303030307,0.04285495643554833,1.747265312965356,1.300201691589594,0.030303030303030307,0.04285495643554833,422.3464242424243,386.48367632228485,0.0,0.0,4.96969696969697,4.797458770221406,2.3127272727272725,1.5222804409985802,1.8983330832315681,1.3950309088165371,-0.9400144300121211,0.6717678899836614,0.30303030303030304,0.30903148567229,120.27272727272728,101.37811718821821,0.9491665416969698,0.6975154545828006,27.15151515151515,14.909337273155424,4.050620490618182,2.1213672382937547,1.1958749057272728,0.8788144037304001,0.0,0.0,0.6666666666666666,0.5999693900976767,0.6003414559090909,0.7586407884842725,0.6060606060606061,0.8570991287109668,1.93939393939394,1.7206144929185927,1.1515151515151516,1.2625858579393734,0.0,0.0,0.4772727272727273,0.4137612199172827,0.030303030303030307,0.04285495643554833,9.96969696969697,8.39661919809154,0.8484848484848485,0.4285495643554834,3.1106060606060613,1.6384727709425917,0.8181818181818182,0.4515049825985254,0.0984848484848485,0.1392786084155321,1.0,4.0,-1.5627603606880085,0.1998756020735593,0.490717506084275,33168.545454545456,15.133707498676426,11.009860544,9.273543552535873,0.8051708846769792,81.0,1919.043448140345,10.727779004543525,0.00044648823771864716,104.5247717192382,4.181818181818182,0.06878426860419183,4.340862182326337,11.090794509303544,0.2346970829448489,5.090909090909091,0.5599252561571283,7.477050637157783,36.0,0.5599252561571283,14.0,58.14893552210015,66.00000000000004,66.00000000000001,65.99999938438604,0.0006897823412814881,12.363636363636365,1.3051881863022692,1171.0583822914873,1977.192383662445,5.589514652667623,3.1123194760859128,1.8783734070923028,1.7814470856604931,0.0,0.35034879320879186
"mp-300578869, Na5Mn2O8, Na5LiMn2O8, mp-849237, mp-578869",2.7786352081676458,-5.386331510083335,120.0,3.0,1.5715,1686.7894479493848,2822.5610912,-646.35978121,-1.6938552087285739,24.0293965,0.025419370916666573,11.266666666666667,5.555377774933243,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.322396,2.8019386704090485,8.046222222222221,4.823370923091899,282.22222222222223,63.5571095381115,0.2222222222222222,0.31426968052735443,0.0,0.0,0.7837777777777778,0.7442871475611353,6.033333333333334,7.0994522480415485,-1.3865927257184445,0.8739340111303249,3.2392444444444446,3.408992893676342,3.755555555555557,0.3861810488218392,7.840447475555558,0.5088075368948692,248.19555555555561,144.7218472675885,224.44444444444446,42.2806613120899,1.0292088724444444,0.4904134313207158,0.1111111111111111,0.15713484026367722,0.0,0.0,0.3209333333333333,0.18470361443454533,0.0,0.0,0.5555555555555555,0.3624334762288909,0.2222222222222222,0.31426968052735443,9.5292,4.964579299471481,0.0,0.0,-0.9709168422222222,0.3943969862752456,37.24444444444444,17.448959076102682,0.16266666666666665,0.11748979467107708,3310.204319672392,4670.891081784382,18.0,20.244139526914577,0.04444444444444445,0.06285393610547088,1.9777811083144423,0.8781633556333777,0.1111111111111111,0.15713484026367722,439.8096,414.6616716748388,0.03638101777777778,0.05145052875427001,3.266666666666667,3.7321426672742417,0.9017777777777778,0.6553007414373915,2.04316394283947,0.9290051045265376,-0.3182630906733333,0.44438571124621945,0.17777777777777778,0.2514157444218835,118.46111111111112,70.84624940193369,1.0215819715555556,0.4645025523500882,36.35555555555555,15.045740958412594,5.334040868451111,3.4253612900753496,1.28711263,0.5852365433450402,0.0,0.0,0.3555555555555556,0.502831488843767,0.4156758834962221,0.5723886149013211,3.8333333333333335,4.6649997022746135,1.4888888888888892,1.2344839477627692,0.7111111111111111,1.005662977687534,1.3783141762444448e-05,1.9492306012559936e-05,0.4977777777777778,0.373584571548084,0.15555555555555556,0.13698697784375502,37.22222222222222,29.14557756089292,0.6888888888888888,0.29979416807182313,5.015777777777777,3.4916672164765763,0.8666666666666666,0.2372684056006958,0.0,0.0,3.0,8.0,0.0,-0.5444105748595532,0.6334211405751339,283.1333333333333,9.857588887999999,13.912737338,9.724557053,0.7906645021218708,292.0,1686.789447949385,9.429439673360427,0.001268369619845471,93.61194219051436,4.666666666666667,0.07114106632922262,0.09854209999999952,11.6476013,0.3952449674383983,4.133333333333334,0.5001859170882728,7.826996353719924,56.0,0.5001859170882728,62.0,51.111407062314576,60.00000000000003,60.00000000000002,60.00000000000003,0.0007847584559462264,11.266666666666667,4.4237785427481064,930.6670942385153,1737.9008550117005,0.0,3.6562593278558726,3.7394121528522932,2.472964932132188,0.0,3.457887087030057
"mp-300761829, CoPO4, LiCoPO4, mp-851068, mp-761829",2.657197490828854,-6.724862442152778,144.0,3.0,1.1967,2308.27711888027,3693.709368,-968.38019167,-2.1291618301686515,96.0051352,0.013672575347221105,12.333333333333336,7.0395706939809575,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.046661111111111,3.5626031039178447,5.530555555555555,4.306312406596841,394.4444444444443,86.42416214502245,0.3888888888888888,0.5499719409228703,0.0,0.0,0.9905555555555554,0.9214444511435346,10.611111111111107,13.730429394524586,-1.7504481004166668,1.0111009417639596,0.7965555555555556,0.321916751756923,4.111111111111111,1.1889408088351499,8.550253166666666,2.4203050312401047,228.54999999999995,215.91449224858195,544.4444444444445,221.24786390822086,1.583467995,0.424007317584274,0.0,0.0,0.0,0.0,0.27011111111111114,0.2429087747272753,0.0,0.0,0.6666666666666666,0.4714045207910317,0.16666666666666666,0.23570226039551584,9.230333333333332,7.322398063982002,0.0,0.0,-1.1945627338888891,0.3515130098797233,26.83333333333333,11.304702397511234,0.18888888888888888,0.13373781241345245,4133.777702692075,5841.423667713297,27.16666666666667,21.868716028627304,0.05555555555555555,0.07856742013183861,1.7323906354293912,1.0832208985245706,0.0,0.0,596.0397777777778,639.4797702601315,0.0935576222222222,0.1323104582100451,4.888888888888888,4.105852492644861,1.9788888888888885,1.3053233836113058,1.868952503434425,1.1642961314557037,-0.8508465608444444,0.6309503696443203,0.2777777777777777,0.28327886186626583,128.02777777777774,118.02039397943784,0.9344762517777778,0.5821480659028347,27.61111111111111,11.66058042305224,3.8464021164,1.7819898226862758,1.177366300222222,0.7334606022728236,0.0,0.0,0.6111111111111109,0.5499719409228703,0.5558853665277778,0.6910419625879893,4.166666666666667,5.892556509887898,2.1111111111111107,1.3630937940428107,1.0555555555555556,1.1573703697777589,0.08602617777777777,0.12165938733245228,0.5916666666666667,0.41949043162177396,0.05555555555555555,0.07856742013183861,13.555555555555555,13.641802132859821,0.7777777777777777,0.3928371006591931,2.995555555555556,1.3609618965829342,0.8333333333333334,0.3600411499115478,0.09027777777777778,0.12767205771423773,6.0,6.0,-0.9077613433453506,0.1503514571686409,0.6214567148161093,30370.83333333333,9.63388781712804,9.633887371628015,22.54510334,0.9064992169651516,464.0,2308.2771188802703,12.903661371809127,0.0004314243429407777,111.81580710780548,4.0,0.06238419071183856,-9.563863350275524,11.535663421762981,0.21893872313336465,5.0,0.6245151530303978,7.834964649316159,48.0,0.6245151530303978,170.0,69.94310497919196,71.99999999999999,72.0,69.40310975961314,0.0005734676620289316,12.333333333333336,1.700010032637046,1206.3397407001282,2378.22022385946,14.1421337524963,4.484129438033813,6.7626729793391975,1.5275252316519468,0.0,1.0801322081895899
"mp-300764857, Ni2(SO4)3, Li2Ni2(SO4)3, mp-779193, mp-764857",3.067058052086517,-5.615972824558823,136.0,3.0,3.5765,1756.6603493816324,3244.5968,-763.77230414,-1.4742808826286768,32.470931300000004,0.048113370612746564,11.764705882352946,6.646798537329662,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,4.113259411764706,3.9071889359511,6.025882352941178,4.6017045134456165,198.0392156862745,109.55854937018816,0.3137254901960784,0.4436748430974416,0.0,0.0,1.036078431372549,0.9888944269335054,7.511764705882353,9.67831736355134,-1.577760826593137,1.2589614448823174,0.6259607843137255,0.12504878248415266,3.9215686274509807,1.2351384900410691,7.952443137254902,2.4168101304177405,188.36,134.33916150619243,235.29411764705884,83.18903308077029,1.3798185315686275,0.6410040521019825,0.0,0.0,0.0,0.0,0.2750588235294117,0.2653744237395279,0.0,0.0,0.6666666666666666,0.5290485318914526,0.0784313725490196,0.1109187107743604,9.270117647058825,8.117654554131237,0.0,0.0,-0.9686993107843138,0.5446266978613373,26.058823529411768,13.587343999289095,0.06862745098039215,0.09705387192756534,4376.6617294929465,6185.2344085733375,28.039215686274506,23.84307275533072,0.0392156862745098,0.0554593553871802,1.7374720690843148,1.2294243378728085,0.0,0.0,464.9636862745098,435.6473845140277,0.0025320470588235298,0.0035808552911551408,5.098039215686275,4.432587027747386,0.8384901960784314,0.8633707931646817,1.8911260777496453,1.3176671043928978,-1.0153063725490197,0.751955658847284,0.29411764705882354,0.2999423243289874,103.5035294117647,71.60727658217122,0.9455630390000002,0.6588335523423586,26.568627450980397,14.247145717366962,4.063933823529412,2.1558200532939336,1.191334776745098,0.8300782608925542,0.0,0.0,0.5882352941176471,0.5998846486579748,0.6090615158088236,0.7196435278030509,2.980392156862745,4.214911009425695,2.156862745098039,1.4704575105296214,1.1764705882352942,1.1997692973159495,0.023348811764705886,0.033020206262943545,0.20392156862745106,0.28838864801333697,0.0392156862745098,0.0554593553871802,15.764705882352946,7.734343488891105,0.6666666666666666,0.5290485318914526,3.0486274509803923,1.6293327179335002,0.8039215686274511,0.4304803607862775,0.1295294117647059,0.18318225084385625,3.0,8.0,-1.2904076802173172,-0.03613796315297937,0.5087344976505603,31699.823529411766,7.9771424510000015,8.089843564999999,21.648192940999998,0.7952823102636892,290.0,1756.6603493816324,9.820029886489657,0.0009126760998125703,106.340607147207,4.235294117647058,0.0774196332534481,-10.126704066666667,9.490299322222224,0.21221289750631347,4.823529411764706,0.4939939005303982,6.458582166133814,16.0,0.4876264332597754,61.0,53.22856524661302,67.99999999999999,68.0,68.0,0.0007535448062826229,11.764705882352946,4.745722387236683,1506.653502549461,1809.8889146282447,0.0,4.0985422382245815,7.0722995304629945,1.5043190414758143,0.0,7.295554009383093
"mp-300778774, MnH6(S2O9)2, Li4MnH6(S2O9)2, mp-779879, mp-778774",2.0149888610878373,-5.646729577758621,116.0,4.0,0.3158000000000001,1573.1443807061594,1908.9395399999999,-655.02063102,-1.5216703830279077,19.8941921,0.07525572594827601,8.241379310344827,5.373338860642988,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,3.2378415344827585,3.1438416933389006,5.343448275862071,3.8270238791651616,115.51724137931036,117.58317318363804,0.04310344827586207,0.07465736239521024,0.0,0.0,0.7499137931034484,0.8133503096567846,1.3,1.6948793270945883,-1.1294778534943104,1.0613078179886062,0.3399720517241379,0.13188211571542818,2.060344827586208,1.8256943689063518,4.114093836206897,3.677909348906324,59.89189655172414,35.61724667866797,127.58620689655173,116.2738986212922,0.9765462372413792,0.6091113350851918,0.0,0.0,0.0,0.0,0.910853448275862,1.2014773836050792,0.0,0.0,0.4482758620689655,0.4639180705887487,0.04310344827586207,0.07465736239521024,7.0598275862068975,6.696226513197737,0.0,0.0,-0.6721720860344828,0.4959972371039058,14.620689655172413,15.374516030200795,0.09146551724137933,0.12838644079783978,3849.040858011184,4710.328543894571,21.741379310344826,19.609346154303214,0.008620689655172414,0.014931472479042043,1.2099882322268485,1.0859198067665798,0.05172413793103448,0.08958883487425227,132.20915,131.8339196345803,0.007056662931034483,0.012222498728439637,3.146551724137931,3.9998049149811368,0.2078793103448276,0.15848711298450766,1.3654101061486603,1.1464435368799255,-0.8184921224732759,0.5231071732640777,0.2413793103448276,0.2313173769827369,35.714655172413785,20.470700435206574,0.6827050531637929,0.5732217685523914,16.663793103448278,14.50264183158106,2.7346128121284483,2.042086294993986,0.8601544672758621,0.7222141723960425,0.0,0.0,0.3793103448275862,0.5102982271361636,0.4573057674598275,0.5657380475722968,0.6724137931034483,1.1646548533652796,1.25,1.4495837690345033,0.7586206896551724,1.0205964542723271,2.673454221163793e-06,4.630558542765171e-06,0.3073275862068965,0.4481139876830379,0.008620689655172414,0.014931472479042043,16.181034482758626,13.860382789023689,0.4741379310344828,0.4445301063570255,1.9161206896551723,1.6691277239321884,0.5,0.4399086490404509,0.4821206896551724,0.6712539552756811,3.0,8.0,0.0,-0.9725598634490378,0.8336632900721317,441.2413793103448,6.9553843220000005,18.986840264,9.492433724,0.7968614531182235,266.0,1573.1443807061594,8.794144434201987,0.0010741422909948774,89.70909997440383,3.724137931034482,0.07373766923283256,-1.8792958533333328,8.228869533333333,0.3376488207442102,4.344827586206897,0.5851677678328285,5.46422891350145,28.0,0.5802718278697918,56.0,47.667847879777575,58.00000000000002,57.99999999999999,58.0,0.0008414499641062501,8.241379310344827,3.8705806681814687,952.4120129094645,1620.8122285859365,0.0,3.483350158443609,9.786909619164662,2.0388614481509637,0.0,6.719461268899939
"mp-300779835, CrB3(HO3)3, LiCrB3(HO3)3, mp-780501, mp-779835",1.9659569145622584,-6.79351715703125,128.0,4.0,2.1189,1563.9309784751842,1851.58016,-869.5701961000002,-2.0760492637256243,0.0,0.04601696132812627,7.125,5.109733358992424,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,3.047161703125,2.7675706057877725,4.493125,3.65111490356884,254.6875,195.4749324561848,0.078125,0.13531646934131855,0.046875,0.08118988160479113,0.7084375,0.7183169211558016,17.5,24.8746859276655,-1.2866220381642188,0.8438818369274764,0.467318421875,0.22022129437859533,1.78125,1.6372733621787166,3.6163675,3.293443651583708,259.91078125,319.42361697458745,228.125,138.9483379713482,1.18870159234375,0.642353911231635,0.0,0.0,0.0,0.0,0.854703125,1.069520109396872,0.0,0.0,0.4375,0.4122158111960288,0.078125,0.13531646934131855,6.367515624999999,6.053571625297535,0.0,0.0,-0.82733279171875,0.3731190808024453,15.15625,13.373649172439814,0.179375,0.13205778209745914,3487.779946251504,4269.072692497601,20.6875,17.118554900312116,0.015625,0.027063293868263703,1.160538449434875,0.9376219602595908,0.0625,0.07654655446197431,227.0801671875,226.7320346130297,0.0,0.0,3.0,3.5748142434258035,2.7150000000000003,3.900267719176468,1.2775257590804472,0.9965948053249633,-0.4743359375,0.3950961051592533,0.1875,0.2296396633859229,152.48796875000005,173.44371107311855,0.638762879625,0.4982974027635457,16.84375,12.254981448884369,2.1015234375,1.7607459078579666,0.8047907978750001,0.6278153867882431,0.0,0.0,0.515625,0.5198688987379414,0.4592892464454687,0.4946955456358498,1.796875,3.1122787948503263,1.125,1.3057864009860112,0.609375,0.9503031999709356,0.0,0.0,0.56484375,0.4319818009675726,0.015625,0.027063293868263703,22.140625,12.057023935112472,0.65625,0.3865411524016557,1.6271875,1.4579666317233566,0.484375,0.3759752942348739,0.439546875,0.6076428705697918,3.0,8.0,-1.1913470798165815,-0.06550814155876225,0.4751678785936721,25855.8125,10.878159035,8.671559546000001,13.136943674000001,0.7923724551856808,284.0,1563.930978475184,8.74263994997067,0.0004758389709587617,100.7721516442087,3.375,0.08184504416224213,-1.6731738066666668,10.347604377777778,0.14335627549285798,3.5,0.5920145909122645,6.982322359619688,56.0,0.5920145909122645,60.0,47.38867257877655,64.00000221208157,64.00000000000001,63.99999999999999,0.0008464070990970216,7.125,1.0301839943816953,926.8248084647163,1611.3196510539624,0.0,3.72387252082704,3.0837443191995635,1.5,0.0,0.8026126806753623
"mp-300851105, Cu2(SO4)3, Li2Cu2(SO4)3, mp-851127, mp-851105",3.217414212182688,-5.620927633970588,136.0,3.0,0.006500000000000172,1714.639708854348,3322.2384,-764.44615822,-1.4220973202757359,19.985837300000004,0.04651621102941128,11.882352941176471,6.935690753513574,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,4.116654705882353,3.904397567743149,6.063137254901961,4.563405548903996,221.56862745098042,96.57733612568431,0.3921568627450979,0.5545935538718021,0.0,0.0,1.035686274509804,0.9892162886956716,5.94313725490196,7.464673176790376,-1.5045973069852945,1.3157047976054932,0.6004705882352942,0.0898003938000474,3.9607843137254894,1.2163186211192802,8.142741176470588,2.3483580310373706,188.90901960784316,135.10128580748528,235.29411764705884,83.18903308077029,1.3516988135294117,0.6755383222364191,0.0,0.0,0.0,0.0,0.2727450980392157,0.2673301262222524,0.0,0.0,0.627450980392157,0.5628509840944048,0.0,0.0,9.206196078431372,8.166854100243,0.0,0.0,-0.8982580652941178,0.5940239269147632,26.058823529411768,13.587343999289095,0.05764705882352941,0.0815252524191549,4376.696578806287,6185.209756656053,28.15686274509804,23.740491125445466,0.0392156862745098,0.0554593553871802,1.7425592921477389,1.2249192367425457,0.0392156862745098,0.0554593553871802,465.434274509804,436.2772359411667,0.0,0.0,5.137254901960786,4.398105215733045,0.6863333333333334,0.6488947507411413,1.8962164735766256,1.3128656546373485,-1.0153063725490197,0.751955658847284,0.29411764705882354,0.2999423243289874,88.98470588235294,51.49282136281826,0.9481082369215686,0.6564328274569619,26.88235294117648,13.987884030616614,4.0933455882352945,2.1169917241963288,1.1945415251764708,0.8270535370803483,0.0,0.0,0.5882352941176471,0.5998846486579748,0.6063392416911765,0.7219065295243668,1.8823529411764703,2.662049058584649,2.1960784313725488,1.4451392762892767,1.1764705882352942,1.1997692973159495,0.0,0.0,0.17450980392156865,0.2467941314729519,0.0392156862745098,0.0554593553871802,15.764705882352946,7.734343488891105,0.627450980392157,0.5628509840944048,3.0780392156862746,1.5964373060912518,0.8039215686274511,0.4304803607862775,0.1295294117647059,0.18318225084385625,2.0,1.0,-1.2156446840198676,-0.16059125722530296,0.48082455856333395,31696.411764705877,7.859546328516091,7.931534438952173,21.899762002171645,0.7961982349311276,1.0,1714.639708854348,9.585127364796922,0.0018117454054131536,106.36074853260824,4.176470588235294,0.07931695463350119,-10.400159758263374,9.345118924093939,0.3294605003098072,4.588235294117646,0.4739879244428872,6.366382459799106,16.0,0.4693573297315382,61.0,51.95529781799586,67.99958171774159,67.99832434073532,67.99986081767231,0.000772011913548651,11.882352941176471,4.8463085456224935,1566.4249400789856,1766.595006672343,0.0020817287914326847,4.108550835224244,7.297537349566343,1.6109486985446062,0.0,7.254466044413726
