,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",0.9156072740000001,2.59969697,0.069410448,0.0,13.59090909,3.8811954739999996,9.648358879,0.0,0.0,4509.186359,0.003156274
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",1.245683688,2.34,0.085561943,0.0,15.0,5.257866667,15.92413333,0.0,0.0,6199.370712,0.01558331
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",0.839057893,1.208035714,0.077581735,0.0,11.14285714,2.4322148180000003,5.779884471,0.0,8.05e-07,3322.008845,0.037726276
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",0.9764901359999999,1.188392857,0.082853545,0.0,12.14285714,2.835757875,6.339848757,0.0,0.0,3321.801475,0.040289841
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",0.887006037,1.28125,0.077074487,0.0,11.85714286,2.687147342,6.175105721,0.0,0.055302542999999996,3321.771686,0.037479612999999995
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",1.010360065,2.245555556,0.08796971699999999,0.0,11.83333333,2.274759907,8.164859,0.0,0.0,4133.838651,0.011423684
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",0.911897469,1.4526785709999999,0.082208776,0.0,11.42857143,2.5085907240000003,5.927352329,0.0,0.0,3321.810868,0.039976304
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",0.9276416120000001,1.16375,0.082595686,0.0,11.57142857,2.577109562,6.032421792999999,0.0,1.11e-05,3321.815145,0.04016445
"mp-300025605, NiPO4F, LiNiPO4F, mp-25589, mp-504104",0.93423345,1.326964286,0.080211805,0.0,12.0,2.68002733,6.166541614,0.0,0.021264096,3321.769737,0.039005221
"mp-300025613, NiAsO4, LiNiAsO4, mp-635257, mp-25613",1.229138338,2.377777778,0.081702094,0.0,15.5,1.126042437,10.97847778,1.0,0.033077483,4133.414106,0.004615182
"mp-300025630, VPO4F, LiVPO4F, mp-25616, mp-25619",0.871750457,1.4705357140000002,0.079584273,0.0,11.28571429,2.486813321,5.889688043,0.0,0.0,3321.873438,0.038700066
"mp-300025652, PWO4F, LiPWO4F, mp-25651, mp-25652",1.267169863,2.570892857,0.07029972799999999,0.5,18.57142857,9.324229902,10.63606304,0.0,0.0,3321.94536,0.034185198
"mp-300025660, Co2P3O10, LiCo2P3O10, mp-25658, mp-25660",0.984675192,2.004888889,0.085014958,0.0,11.93333333,1.845346861,8.2395928,0.0,0.068820942,4133.969017,0.011145631000000001
"mp-300025688, FePO4F, LiFePO4F, mp-25518, mp-25515",0.8539715809999999,1.195892857,0.07510895599999999,0.0,11.71428571,2.60043802,6.064813042999999,0.0,0.075380814,3321.7995969999997,0.036523819
"mp-300025742, Cr(GeO3)2, LiCr(GeO3)2, mvc-8434, mp-25742",1.110005406,3.562962963,0.075682038,0.0,15.11111111,4.233705247,10.86194444,1.0,0.0,4133.725848,0.00655201
"mp-300025881, Bi(PO3)4, LiBi(PO3)4, mp-684096, mp-25881",0.871511218,1.7236470590000001,0.063868707,0.27450980399999997,14.05882353,2.1626837230000002,10.29153427,0.0,0.0,4377.543254,0.005800795
"mp-300025885, CuPO4, LiCuPO4, mp-25886, mp-25885",1.04026874,1.834444444,0.084614994,0.0,12.66666667,2.577040428,8.806520111000001,0.0,0.0,4133.824041,0.015410843
"mp-300025907, Sn(PO3)4, LiSn(PO3)4, mp-25908, mp-25907",0.7777739220000001,1.6460784309999998,0.066130103,0.0,12.11764706,1.964169365,8.521526431,0.0,0.0,4377.37626,0.002091031
"mp-300025959, Bi(PO3)4, LiBi(PO3)4, mp-25960, mp-25959",0.8438373570000001,1.7236470590000001,0.061840627999999995,0.27450980399999997,14.05882353,2.1626837230000002,10.29153427,0.0,0.0,4377.543254,0.011233193999999998
"mp-300026113, Ti(PO3)4, LiTi(PO3)4, mp-26114, mp-26113",0.686009245,1.783333333,0.06750299,0.0,10.47058824,3.462870234,7.132447999999999,0.0,4.42e-07,4377.193310000001,0.003327117
"mp-300026129, BiP2O7, LiBiP2O7, mp-672945, mp-26129",1.162854064,1.6575333330000002,0.070892882,0.46666666700000003,16.9,6.103688247000001,12.76412413,0.0,0.0,4341.243062,0.010945886
