,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300019013, V2O5, LiV2O5, mp-510748, mp-19013",3.0,16.0,-3.0824693508765297,-0.12521706682776307,0.4463591918986016,32138.42857142857
"mp-300019017, LiFe4(PO4)4, LiFePO4, mp-632692, mp-19017",2.0,1.0,-1.982864935488724,0.1401082545481108,0.5416937078821049,29291.52
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",3.0,8.0,-3.140945485292669,-0.14148461833978102,0.4733558329706204,29985.83333333333
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",1.0,2.0,-2.377447597057172,-0.1587049168944669,0.4675044286184623,27265.4
"mp-300019131, Li2Mn3(BO3)3, LiMnBO3, mp-849566, mp-19131",2.0,1.0,-0.7820404224406367,-0.15913159475200314,0.4414898064652912,24304.058823529413
"mp-300019183, NiO2, Li2NiO2, mp-714876, mp-19183",1.0,4.0,-2.1062385033962348,-0.5321325680068326,0.5548201144291368,29860.0
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",3.0,8.0,-1.3119386113747429,-0.2086561701068166,0.4908495465597002,27818.0
"mp-300019279, MnO2, LiMnO2, mp-25558, mp-25542",5.0,6.0,-1.8477074481962403,-0.18750653943075332,0.5023658348407783,29897.66666666667
"mp-300019308, NiO2, Li2(NiO2)5, mp-543096, mp-762387",1.0,2.0,-1.7834555010197597,-0.5321325680068326,0.5548201144291367,29860.0
"mp-300019308, Li2(NiO2)5, LiNiO2, mp-762387, mp-25587",2.0,1.0,-0.9389999944203716,-0.4147891977052462,0.5029067645500337,26561.29411764706
"mp-300019408, V2O5, LiV2O5, mp-25643, mp-19408",3.0,8.0,-2.7521226352346377,-0.12521706682776307,0.4463591918986016,32138.42857142857
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",3.0,8.0,-1.3449732293401708,-0.2405853428137377,0.4990454556181892,27817.69230769231
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",3.0,4.0,-2.1068379784764644,0.2239416899692595,0.5135259696631419,31715.615384615387
"mp-300019511, Li35(FeO4)8, Li5FeO4, mp-853186, mp-19511",2.0,1.0,-0.5759260244070109,-0.15567392755651008,0.42293047802083217,19957.706666666665
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",3.0,8.0,0.0,-1.5422801833771766,1.0676523245468967,543.9166666666666
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",3.0,8.0,-3.1840281475869388,0.06924620469411202,0.5041697856859175,32137.142857142862
"mp-300021471, Li19(FeAs)20, LiFeAs, mp-530480, mp-21471",2.0,1.0,0.0,0.06182876034357305,1.305366877621564,330.64406779661016
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",1.0,4.0,-1.2962804325560695,-0.2744685721537546,0.5535851843963793,21006.69230769231
"mp-300022902, Bi, LiBi, mp-567597, mp-22902",7.0,96.0,0.0,1.2098729425694188,1.3559971079771305,75.0
"mp-300024850, CoO2, Li(CoO2)4, mp-715480, mp-780888",1.0,8.0,-2.993276060456377,-0.3937728196101746,0.5193045085090184,29861.33333333333
"mp-300024850, Li(CoO2)4, Li3(CoO2)4, mp-780888, mp-853206",5.0,12.0,-0.6564681861381879,-0.3000099681776992,0.5542360872539338,27706.461538461543
"mp-300024850, Li3(CoO2)4, LiCoO2, mp-853206, mp-24850",5.0,12.0,-0.6562373433941887,-0.14998940588573867,0.6101266132457984,24258.66666666667
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",3.0,8.0,-2.0045961694761227,0.08538919843573978,0.5408015257224891,29984.33333333333
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",2.0,2.0,-2.185020557781409,0.15983328372098052,0.4820623124792078,33036.045454545456
"mp-300025372, CuO2, LiCuO2, mp-25378, mp-25372",5.0,12.0,-0.5144281285148155,-0.6789598951469061,0.7911589391346271,345.66666666666674
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",7.0,48.0,-0.21656524091972995,-0.6789598951469059,0.7911589391346269,345.66666666666674
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",2.0,2.0,-2.335420456927553,0.10885551680963486,0.4929413452029929,27181.42857142857
"mp-300025401, LiTiPO4F, Li2TiPO4F, mp-25420, mp-25401",2.0,2.0,-1.6365277289794329,0.1101645123882896,0.4661165353493436,23937.125
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",2.0,2.0,0.0,-1.3486548156839753,0.7327391360463277,367.71428571428567
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",5.0,12.0,-0.21367307562107687,-0.13589723742377066,0.5127593465339801,30077.0
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",2.0,2.0,-2.320571133768257,-0.0016625898416811375,0.4957464146208665,27089.0
"mp-300025488, LiCoPO4F, Li2CoPO4F, mp-25487, mp-25488",2.0,2.0,-1.5626469221885897,0.10168826501502948,0.5554549918173729,23933.875
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",3.0,8.0,-2.1276911673135728,0.1337270947152025,0.4905496606693249,30409.16666666667
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",2.0,2.0,-2.2051530965386985,0.04477159978202543,0.4881563191216043,27091.714285714286
"mp-300025508, LiCrPO4F, Li2CrPO4F, mp-25501, mp-25508",2.0,2.0,-1.522264939780957,0.08921999317495066,0.4572747012072846,23962.625
"mp-300025510, Li3Cr2P2(CO7)2, Li2CrPCO7, mp-763241, mp-777037",2.0,1.0,-2.0475731855255788,-0.0224945759825856,0.5328283222046102,27841.60869565217
"mp-300025536, Li2FePCO7, Li3FePCO7, mp-769972, mp-25536",2.0,2.0,-1.9324793535424811,-0.009902809013049222,0.5407113153977924,26786.16666666667
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",2.0,2.0,-2.123676816531842,0.08673724452092799,0.4884869830487635,27104.571428571428
"mp-300025562, LiMnPO4F, Li2MnPO4F, mp-25552, mp-25562",2.0,2.0,-1.5806117717738184,0.07600575619343808,0.4740121747877109,23954.25
"mp-300025576, MoO2, Li(MoO2)2, mp-714969, mp-25576",3.0,8.0,-1.6072446112881362,0.07245600990950396,0.6949755479568487,29874.0
"mp-300025605, NiPO4F, LiNiPO4F, mp-25589, mp-504104",2.0,2.0,-2.0906811436765578,-0.06095962486882029,0.5109673885866314,27088.42857142857
"mp-300025605, LiNiPO4F, Li2NiPO4F, mp-504104, mp-25605",2.0,2.0,-1.4976298497310163,0.004821088184363664,0.4612910450703976,23930.0
"mp-300025613, NiAsO4, LiNiAsO4, mp-635257, mp-25613",3.0,8.0,-1.7865653824169776,-0.009523692243025959,0.5238400194327381,29952.0
"mp-300025614, NiPO4, LiNi2(PO4)2, mp-540008, mp-767051",3.0,8.0,-2.143224844394057,0.02119522139441991,0.4959047858201424,30365.66666666667
"mp-300025630, VPO4F, LiVPO4F, mp-25616, mp-25619",2.0,2.0,-2.316357948338246,0.10727455909377527,0.4744045813478226,27118.571428571428
"mp-300025630, LiVPO4F, Li2VPO4F, mp-25619, mp-25630",2.0,2.0,-1.565787921169706,0.11511894664661992,0.4504593128894505,23941.125
"mp-300025637, VPO4, LiV2(PO4)2, mp-32453, mp-767232",3.0,8.0,-2.286493367851365,0.16825903267742814,0.4814624762455461,30380.5
"mp-300025647, WO2, LiWO2, mvc-11458, mp-25647",5.0,12.0,-1.6053781979116015,0.283975718238322,0.7630265951481653,29861.33333333333
"mp-300025652, PWO4F, LiPWO4F, mp-25651, mp-25652",2.0,2.0,-2.4756706976604805,0.28880106923624604,0.6001987374662151,27089.0
"mp-300025666, LiMnPCO7, Li2MnPCO7, mp-769716, mp-769717",2.0,1.0,-2.534386258525992,-0.015009771280920937,0.5462989695399645,29021.727272727272
"mp-300025666, Li2MnPCO7, Li3MnPCO7, mp-769717, mp-25666",2.0,1.0,-2.0476380391432114,-0.013685178849093557,0.531831431824996,26761.75
"mp-300025688, FePO4F, LiFePO4F, mp-25518, mp-25515",2.0,2.0,0.0,-1.2294656571348237,0.8799571132499364,415.0
"mp-300025688, LiFePO4F, Li2FePO4F, mp-25515, mp-25688",2.0,2.0,-1.5783472129056413,0.08167931094750458,0.4873320001469054,23990.875
"mp-300025885, CuPO4, LiCuPO4, mp-25886, mp-25885",1.0,2.0,-1.8418978985898309,-0.15511361187470515,0.4563657054465719,30360.83333333333
"mp-300025907, Sn(PO3)4, LiSn(PO3)4, mp-25908, mp-25907",3.0,8.0,-2.10195544471485,0.25228897839157616,0.5164453170732864,32340.176470588238
"mp-300025929, Bi2(PO4)3, LiBi2(PO4)3, mp-26074, mp-504151",2.0,1.0,0.0,-1.507902695844292,0.9580245964659042,423.35294117647067
"mp-300025929, LiBi2(PO4)3, Li3Bi2(PO4)3, mp-504151, mp-25929",2.0,2.0,0.0,-1.3934340518077102,0.9310867787742244,408.27777777777777
"mp-300026113, Ti(PO3)4, LiTi(PO3)4, mp-26114, mp-26113",3.0,8.0,-2.157926699984579,0.2365585224736005,0.5138563379720535,32356.529411764703
"mp-300026173, Bi3(PO5)2, LiBi3(PO5)2, mp-584116, mp-26173",2.0,1.0,0.0,-1.2596271618114934,0.9520016453474256,380.33333333333326
