,VnormLiFrac,dVnormLiPerFormulaUnit,dVraw3,dvnormweight2,dVnormLiPerFormulaUnit2,dVperAtom,dVraw2,dVdensity,dvnormweight,dVoriginal,dVraw,dVweight,gravCap4,gravCap3,avgVolt4,energy_vol4,volumetricCap2,energy_grav4,energy_vol2,volumetricCap4,avgVolt2,avgVolt3,gravCap2,energy_grav3,energy_grav2,energy_vol3,volumetricCap3,max Anisotropy,deltaz2,deltay,deltax,deltax2,anisotropyMean,deltaz,deltay2
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",1.0,0.5020988699630164,1.1402739121781043,0.054760308897762296,0.5020988699630164,-0.49790113003698355,1.5062966098890493,-12.543488198521802,0.05476030889776231,1.5062966098890493,1.5062966098890493,54.194558406696885,0.0020220731711482797,0.002671149387983639,1.2033192364347443,0.000636577787179471,0.0002656194448726434,0.002133872851369135,0.0002803054460623724,0.0006032256626624451,1.589579194172447,1.589579194172447,0.0008903831293278797,0.0028188362529595087,0.0009396120843198363,0.0008409163381871171,0.0007968583346179303,-0.3418472562663837,-0.08546181406659592,-0.4982743741686623,-0.49827437357975013,-0.12456859339493753,-0.4461320013382654,-0.3418472562663837,-0.12456859354216558
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",-0.028429676375695222,0.09302308960190138,-0.013115822730873162,-inf,-0.09221295142452304,-1.7547697874708295,-0.10783810087108445,7.28305559138455,4.6541506070537846e-05,0.008785514017957352,-0.008709000967871621,-21.335720395585042,0.005623893532888615,-0.0005073495104002551,0.0192708912306403,0.0002558883002405416,-0.0012244485798699003,0.0011226405034183075,-0.00024442418087686115,0.001281878350623185,-0.0017384890332054522,-0.0017384890332054522,-0.005371935992473289,-0.00010127700790100553,-0.0010723447895400586,-2.3084505971703555e-05,-0.00011564236587660171,2.712909603872807,21.947133874027216,-0.8744889200659642,-0.6583349853690592,-5.325856061412616,0.3933618994792612,2.712909603872807,-7.0745171061516245
"mp-300003731, Li17Nb18O54, LiNbO3, mp-530514, mp-3731",-7.62318524666074,0.0579643988895526,-0.005809737430295699,5.580115670456418e-05,-0.05777833851948857,-1.58924553967042,-0.8892455452995031,5.549084920146243,2.463226617193103e-06,0.0032202443827529237,-0.0032099076955271443,-16.180293070604268,0.7891583874311235,-0.0003187238622974269,1.6194151271270987,0.03643841309674407,-0.001300068729598453,0.16079784621223003,-0.000264900246866535,0.17883124679432783,-0.0006540464527798937,-0.0006540464527798937,-0.005737029521353682,-6.494274332013312e-05,-0.0011689693797623957,-1.4716680381474174e-05,-7.222604053324742e-05,7.441048464243325,61.993300756292555,7.441048464243325,5.599681426546338,161.2708250845346,5.0644250186462365,2.1525451651490464,214.30219577020785
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",1.0,0.021045415714411764,-0.016795699006293477,-0.0012098904341084481,0.02104541571441187,-0.9368637528567638,1.0210454157144118,1.4069360933159958,-6.369429514868569e-05,0.010522707857205882,0.010522707857205936,-4.3123185620164985,-0.004870321632847735,0.00010080485541622987,-0.15242366578855254,-0.00028207499273392826,3.8946612745558756e-05,-0.0014601798130606486,1.1676653413319533e-05,-0.0009408402492004302,0.0031548318058088206,0.0031548318058088206,0.00020160971083245973,3.0222483448431027e-05,6.0444966896862054e-05,5.838326706659766e-06,1.9473306372779378e-05,0.012769864325125946,-1.23390337888632,-1.0833203207693771,0.012769864325125946,0.02189119598593019,-0.596775809153757,-0.7197769710170201,-1.8571205498903607
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",0.7036262084664558,0.15821786663190443,-0.017440320918031244,-0.0005025304975660927,-0.15615893878605225,-1.804315666709709,1.9609602653034872,8.03021902948186,-1.6867721811616513e-05,0.013184822219325376,-0.013013244898837692,-27.737873879900302,-0.03882728436683766,-0.0007513515343926742,-0.2530608471790286,-0.002773318291726789,-0.0017113609085708152,-0.014611087188534794,-0.0006440018624515216,-0.007369774511860038,-0.0048970114424244805,-0.0048970114424244805,-0.009016218412712086,-0.0002827409373916223,-0.003392891248699466,-5.366682187096016e-05,-0.000142613409047568,0.12521658853690912,0.7338274491000258,0.0026098851778483733,-0.8503594916481426,-4.9835021371007455,-0.2408443393111284,0.12521658853690912,0.015295141042274196
"mp-300003924, Li7Nb12O24, LiNbO2, mp-766084, mp-3924",-3.008820821197261,0.06256136159260298,-0.04678301370608614,0.0013480194123638132,-0.060971990450277645,-1.4554102091263055,-0.8375674993368248,4.505624879615195,3.64422713913462e-05,0.026067233996917905,-0.025404996020949016,-15.283459913994335,0.05571828501134266,-0.0002999432614555188,1.945820674830792,0.0041565379349288644,-0.0001302444745052048,0.022973268680501226,-5.370124558481379e-05,0.010081071550579683,-0.010474762446430549,-0.010474762446430549,-0.0007198638274932452,-0.00012366994305228012,-0.0002968078633254723,-2.237551899367241e-05,-5.4268531043835326e-05,2.993634221496544,0.781068354083044,1.1043302225144926,2.993634221496544,10.77708319738756,1.4383092919002571,0.21696343168973442,3.975588801052174
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",1.0,0.11075673078595138,0.048109910730995305,0.006931265052729478,0.11075673078595147,-0.6677298076421454,0.11075673078595147,-2.9253051874385263,0.006931265052729475,0.11075673078595138,0.11075673078595147,5.9207471949224715,0.0002209111838528192,0.0005085729768737474,0.020215306706939978,2.8947823661879457e-05,0.0001586009234802899,9.282468557358634e-05,6.664253297174324e-05,6.889221283748833e-05,0.046538878344945744,0.046538878344945744,0.0005085729768737474,0.00021369731421556519,0.00021369731421556519,6.664253297174324e-05,0.0001586009234802899,0.04043376228533102,0.030325321713998266,-0.19125633862397695,-0.18957242000000019,-0.14217931500000014,-0.1134649987795487,0.04043376228533102,-0.1434422539679827
"mp-300004711, Li4(CuO2)3, Li5(CuO2)3, mp-752615, mp-760590",0.18494509052369398,0.17109357242700055,0.03419909024677442,0.004927112843505896,0.17109357242700063,-0.373525417030999,0.05703119080900013,-6.489544278500468,0.004927112843505914,0.05703119080900021,0.05703119080900023,12.053982274742578,0.0004100338554779036,0.0006837819041726086,0.01281274638378132,4.360991717170114e-05,0.0005823401399403904,0.00015361987003434762,0.00021817470781567566,0.00011640123423478059,0.02136683106269703,0.02136683106269703,0.002051345712517825,0.00025618003452033375,0.0007685401035610009,7.272490260522525e-05,0.00019411337998013025,0.41528199771446184,-0.8050186031064319,0.41528199771446184,0.013237598028919884,0.042549422235813913,0.05935645455527505,-0.25045023207755657,1.3348349926536276
"mp-300004711, Li5(CuO2)3, Li2CuO2, mp-760590, mp-4711",-1.6696983577006517,0.009970869006809881,-0.0178901602977953,0.0008591538345961342,0.00997086900681007,-1.4831744323950067,-0.6655587923325766,2.8152950055329606,8.442235288413859e-05,0.0033236230022699598,0.0033236230022700227,-6.584076281834164,0.023839794557743297,4.070969935136e-05,0.7933866525156106,0.0027093740048138248,3.404999719468246e-05,0.009717868744810301,1.3879876468633706e-05,0.006646613712430074,0.0013548158737299893,0.0013548158737299893,0.00012212909805408,1.65945857452328e-05,4.978375723569842e-05,4.626625489544567e-06,1.1349999064894149e-05,1.4289323867348191,-0.81167875345821,1.4289323867348191,1.1862627617094537,4.2705459421540315,0.7965762760130715,-0.22546632040505843,5.144156592245347
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",1.0,0.044787056635707735,-0.09192640299368302,-0.004414657013575518,-0.04333153761379179,-1.0866630752275837,-0.03249865321034384,4.622290742835868,-0.004414657013575522,0.0335902924767808,-0.03249865321034384,-10.387824492104103,-0.00038758395362227196,-0.00013702218392608892,-0.024102846508369774,-2.4728541461445732e-05,-4.4456397467359524e-05,-0.00010162343177842695,-1.1656343439702285e-05,-9.431275542668718e-05,-0.008521056242258098,-0.008521056242258098,-0.00018269624523478527,-3.592683450954872e-05,-4.790244601273163e-05,-8.742257579776714e-06,-3.3342298100519645e-05,0.9143813056546085,0.03158312917873194,0.04343296657871054,0.9143813056546085,0.6650045859306244,0.3337470249513585,0.04342680262075641,0.03158761205724403
"mp-300005127, Li3(CuO)4, LiCuO, mp-753081, mp-5127",0.20133847758417786,0.0977650492386335,0.0038870283442852802,0.000560009846460925,0.09776504923863313,-1.0053259075664185,0.024441262309658283,-0.5863422750711986,0.0005600098464609225,0.024441262309658374,0.024441262309658283,1.4327025988124602,5.0172611172261854e-05,0.0003154805784281524,0.0013370473319130514,4.2158511184101084e-06,0.0003082635014755887,1.7258211147754944e-05,0.0001060354738035481,1.2256209934692537e-05,0.008407225691513304,0.008407225691513304,0.0012619223137126097,0.00010851798039443091,0.00043407192157772365,2.6508868450887024e-05,7.706587536889717e-05,0.0073588684027854345,0.07849459629637796,0.007354244851927261,-0.0398846371556264,-0.42543612966001493,-0.008390507966971236,0.0073588684027854345,0.07844527842055744
