,dVnormNumDens,VnormLiFormFrac,dVoriginal,dVraw,dVnormLiPerFormulaUnit2,dVperAtom,dVnormNumDensnorPerFormulaUnit,dVnormLiPerFormulaUnit,VoverLi,VnormLiFrac,energy_vol2,volumetricCap2,avgVolt3,gravCap3,energy_vol3,avgVolt2,volumetricCap3,energy_grav3,gravCap2,energy_grav2
"mp-300003731, Li17Nb20O60, Li17Nb18O54, mp-686160, mp-530514",-59.09578467284136,-0.008785514017957274,0.008785514017957352,-0.008709000967871621,-0.09221295142452304,-1.7547697874708297,-34.24257552651591,0.09302308960190138,-7.143072568810627,-0.028429676375695226,-0.0002444241808768612,-0.0012244485798699005,-0.0017384890332054522,-0.0005073495104002551,-2.3084505971703555e-05,-0.0017384890332054522,-0.00011564236587660171,-0.00010127700790100552,-0.005371935992473289,-0.0010723447895400586
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",7.058518966318853,1.0,0.11075673078595136,0.11075673078595147,0.11075673078595147,-0.6677298076421454,7.058518966318853,0.11075673078595136,6.354693850312638,1.0,6.664253297174324e-05,0.0001586009234802899,0.046538878344945744,0.0005085729768737474,6.664253297174324e-05,0.046538878344945744,0.0001586009234802899,0.00021369731421556519,0.0005085729768737474,0.00021369731421556519
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",-1.9234850264275734,0.4862528114662071,0.02749437706758595,-0.02675866426252715,-0.0535173285250543,-1.3851957581439711,-1.304996622150545,0.0549887541351719,-1.0146275358142418,0.4128603559613795,-9.908707639679824e-05,-8.875223685810792e-05,-0.029874602645748205,-0.00017333623465902998,-4.954353819839912e-05,-0.029874602645748205,-4.437611842905396e-05,-0.00019352053913245792,-0.00034667246931806,-0.00038704107826491584
"mp-300007543, VS2, LiVS2, mp-9561, mp-7543",6.294321231859717,1.0,0.09915307808207753,0.09915307808207756,0.09915307808207756,-0.7025407657537671,6.294321231859717,0.09915307808207753,5.726519224094553,1.0,7.914412835481491e-05,0.00014142983320128004,0.05548605807471112,0.00045138976947458167,7.914412835481491e-05,0.05548605807471112,0.00014142983320128004,0.000252597694876043,0.00045138976947458167,0.000252597694876043
"mp-300007554, MgSnAu, LiMgSnAu, mp-5549, mp-7554",6.776722394039424,1.0,0.08963782119676478,0.08963782119676471,0.08963782119676471,-0.7310865364097059,6.776722394039424,0.08963782119676478,6.2192430018595095,1.0,0.0005027427624965227,0.00015226911410067914,0.2959547385481889,0.0011602859425155368,0.0005027427624965227,0.2959547385481889,0.00015226911410067914,0.0038308843094762616,0.0011602859425155368,0.0038308843094762616
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",50.37132082943847,1.0,1.9006839054069555,1.900683905406956,0.6335613018023186,-0.36643869819768143,16.79044027647949,0.6335613018023185,17.365325720443,1.0,0.000404522077994228,0.00037727168350715554,2.0379706101394266,0.003370525179003161,0.001213566233982684,2.0379706101394266,0.0011318150505214663,0.0036139787557535213,0.0011235083930010536,0.0012046595852511733
"mp-300009615, TiS2, LiTiS2, mp-2156, mp-9615",-1.0088926869894588,1.0,0.016046689065359443,-0.015793259540189484,-0.015793259540189484,-1.0473797786205683,-1.0088926869894588,0.016046689065359443,-1.0250820742378934,1.0,-1.2052816886754755e-05,-2.266924727588966e-05,-0.008396982174408171,-7.008637353222568e-05,-1.2052816886754755e-05,-0.008396982174408171,-2.266924727588966e-05,-3.7263620452852425e-05,-7.008637353222568e-05,-3.7263620452852425e-05
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",7.1623642307861735,1.0,0.1014292530458354,0.10142925304583547,0.10142925304583547,-0.6957122408624936,7.1623642307861735,0.1014292530458354,6.502790997224508,1.0,0.00036756834455226533,0.0001609342677586239,0.2316609330658401,0.0009817884345783784,0.00036756834455226533,0.2316609330658401,0.0001609342677586239,0.0022423710911574747,0.0009817884345783784,0.0022423710911574747
"mp-300010189, TiTe2, LiTiTe2, mp-1907, mp-10189",12.070316057999866,1.0,0.12700301770811984,0.12700301770811973,0.12700301770811973,-0.6189909468756409,12.070316057999866,0.12700301770811984,10.710100921065973,1.0,0.00022318610850080204,0.00027121316562759423,0.1045130284311306,0.0014690214145500345,0.00022318610850080204,0.1045130284311306,0.00027121316562759423,0.0012088836913911505,0.0014690214145500345,0.0012088836913911505
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",-0.14840152534308276,1.0,0.0013705734415703221,-0.0013686975410710195,-0.0013686975410710195,-1.0123182778696391,-0.14840152534308276,0.0013705734415703221,-0.14860492053240648,1.0,-2.1059035924391255e-06,-3.3344982251384867e-06,-0.000864401440364944,-1.0569815405880227e-05,-2.1059035924391255e-06,-0.000864401440364944,-3.3344982251384867e-06,-6.675370844960379e-06,-1.0569815405880227e-05,-6.675370844960379e-06
