,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300780145, Li3Mn3O8, Li4Mn3O8, mp-770608, mp-780711",0.018013323674511174,0.2632709390355709,2.7462292255424763,-0.9517625963450758,0.01801332367451125,0.018013323674511174,0.01801332367451125,-1373.370568077931,0.004044824501425011,0.2106474346809689,0.37991644263196656,0.00021545790525270394,5.706509140923214e-05,5.706509140923214e-05,0.00021545790525270394,1.5460010351111798e-05,5.8371613243342175e-05,1.5460010351111798e-05,5.8371613243342175e-05,0.004770917831325039,0.004770917831325039
"mp-300780145, Li4Mn3O8, Li11Mn6O16, mp-780711, mp-780145",0.02175103243299812,0.28820945202184706,2.2682963107143483,-1.0670313759136605,0.014500688288665428,0.014500688288665409,0.02175103243299814,-966.2050000753841,0.010498365314832772,0.21703039722403167,0.2305493546260763,0.000119384140970392,7.712892928479244e-05,5.141928618986162e-05,0.00017907621145558798,1.3785727550167135e-05,4.801108776048332e-05,2.0678591325250705e-05,3.2007391840322213e-05,0.009368267447471672,0.009368267447471672
"mp-300780153, Li6FeO5F, Li7FeO5F, mp-765049, mp-774077",0.03079139406343904,0.16846137629850536,4.939748794551154,-1.1137506290398294,0.030791394063439007,0.03079139406343904,0.030791394063439007,-257.4984808084365,0.0043987615056504436,0.10449686678300568,0.3386566001620365,0.00023371145123475976,7.478615718482559e-05,7.478615718482559e-05,0.00023371145123475976,2.8955421698785022e-05,9.048751642116191e-05,2.8955421698785022e-05,9.048751642116191e-05,0.009853047525921862,0.009853047525921862
"mp-300780153, Li7FeO5F, Li8FeO5F, mp-774077, mp-780153",0.036634368403204436,0.15592225506875712,6.679836337732695,-0.9742376847102742,0.036634368403204436,0.036634368403204436,0.036634368403204436,-275.7349173762841,-0.002425241018196133,0.09563098757366832,0.3761368311856839,0.00028754803494132484,9.5627986592118e-05,9.5627986592118e-05,0.00028754803494132484,3.7114895006732596e-05,0.00011160242421248677,3.7114895006732596e-05,0.00011160242421248677,0.012183254499329823,0.012183254499329823
"mp-300780179, Li6FeCo3(PO4)6, Li7FeCo3(PO4)6, mp-771373, mp-780179",0.06784444327913998,0.1973148687174508,55.38484694978187,2.0162090954889327,0.06784444327914008,0.06784444327913998,0.06784444327914008,-894.658529439086,-0.05583366286183267,0.17724774043538716,3.110510170383709,0.002154346340145744,0.0007376500350982244,0.0007376500350982244,0.002154346340145744,0.00025265261696272003,0.0007378854670689496,0.00025265261696272003,0.0007378854670689496,0.023229995583111045,0.023229995583111045
"mp-300780199, LiMn3(BO3)3, Li2Mn3(BO3)3, mp-780320, mp-850410",0.019959255319793045,0.5097843395290996,3.846989629264055,-0.7260287092088671,0.059877765959379436,0.05987776595937914,0.019959255319793142,-2173.9939519404465,-2.3844939250200864e-05,0.4791458607496684,3.7954580867103855,0.0007933895451512454,7.62345726347159e-05,0.00022870371790414766,0.00026446318171708186,7.325972415453199e-05,8.471440656571813e-05,2.441990805151067e-05,0.00025414321969715437,0.005753486324759448,0.005753486324759448
"mp-300780199, Li2Mn3(BO3)3, Li5Mn6(BO3)6, mp-850410, mp-780199",0.003498967181730932,0.20278941367846773,1.34533014445997,-0.9985064645973,0.020993803090385555,0.020993803090385583,0.003498967181730928,-4478.097689578105,0.0062518080348509435,0.17934204349254007,0.8898693847281621,0.000561779133009119,2.876948450806008e-05,0.0001726169070483604,9.362985550151988e-05,5.495012836356319e-05,2.980572799296521e-05,9.158354727260536e-06,0.00017883436795779122,0.0010751216221559225,0.0010751216221559225
"mp-300780214, Li2Mn3Cr3O12, Li4Mn3Cr3O12, mp-850956, mp-780214",-0.006210326679639211,0.4968754320726186,-0.6864253570714146,-1.180114740884879,0.009373703782144084,-0.009315490019458816,0.006249135854762722,-832.6520993537248,0.03277154763877646,0.4465629752798804,-0.344630718275232,-9.394208299436288e-05,-1.7303577637111015e-05,-2.595536645566652e-05,-6.262805532957524e-05,-6.4317988327206454e-06,-1.5519374532906477e-05,-4.2878658884804295e-06,-2.327906179935972e-05,-0.0017158583208029454,-0.0017158583208029454
"mp-300780216, Li3Fe3O8, Li5Fe3O8, mp-771620, mp-780216",-0.00962084600035313,0.39417141649549103,-0.6921119395277557,-1.3584402643667823,0.004857152920424102,-0.004810423000176565,0.009714305840848205,-353.28252273210524,0.054021915163853934,0.3076244759948469,-0.0872901089966886,-2.9635879478789522e-05,-1.5443117620963416e-05,-7.721558810481708e-06,-5.9271758957579043e-05,-2.055172416638278e-06,-1.5775789200736514e-05,-4.110344833276556e-06,-7.887894600368257e-06,-0.0025066888347782114,-0.0025066888347782114
"mp-300780217, Li6CuO4, Li7CuO4, mp-752512, mp-780217",0.04750576627347847,0.1817297004558179,7.027738749867482,-1.0503604561818194,0.04750576627347836,0.04750576627347847,0.04750576627347836,-466.9825533082576,-0.006186873832399072,0.10734149140634704,0.4450560186274272,0.00031219240070297566,0.00019228696332621744,0.00019228696332621744,0.00031219240070297566,6.953769237226707e-05,0.00011289969296677285,6.953769237226707e-05,0.00011289969296677285,0.029259967624590363,0.029259967624590363
"mp-300780303, Li3Fe3SbO8, Li4Fe3SbO8, mp-772131, mp-780303",0.002839762258248975,0.2521237906332021,0.4627538132247663,-1.196754457657833,0.002839762258249001,0.002839762258248975,0.002839762258249001,-466.89961078512357,0.012966353775760142,0.2022653766754156,0.06578468522575298,4.715590367488911e-05,1.861402623618687e-05,1.861402623618687e-05,4.715590367488911e-05,4.069402543636419e-06,1.0309234118785582e-05,4.069402543636419e-06,1.0309234118785582e-05,0.0011209499778439779,0.0011209499778439779
"mp-300780305, Li3Fe5O12, Li5Fe5O12, mp-762739, mp-762602",0.007595955793385964,0.4045232153323233,0.8523448571985724,-1.0871064024307526,0.0037979778966930056,0.003797977896692982,0.007595955793386011,-528.0601391870747,0.020461725376120826,0.3449755368655556,0.10578113576930276,3.584659211660384e-05,1.5665305870553854e-05,7.832652935276927e-06,7.169318423320768e-05,2.06852967382082e-06,1.893349293304923e-05,4.13705934764164e-06,9.466746466524617e-06,0.001659752906155341,0.001659752906155341
