,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300002074, Sb, Li3Sb, mp-10631, mp-2074",1.5062966098890491,1.0,35.464104148604896,-0.4979011300369836,0.5020988699630164,0.5020988699630164,1.5062966098890491,-47.03229404350507,-0.5327700840952995,1.0,11.821368049534964,0.0008903831293278797,0.002818836252959509,0.0009396120843198363,0.002671149387983639,0.0002803054460623725,0.0007968583346179303,0.0008409163381871171,0.0002656194448726434,1.5895791941724466,1.5895791941724466
"mp-300003924, NbO2, LiNb2O4, mp-25214, mp-758673",0.010522707857205936,1.0,84.09402070356299,-0.9368637528567638,0.021045415714411764,0.021045415714411868,0.010522707857205882,-1026.9252449959506,1.0341652268797412,1.0,168.18804140712598,0.00020160971083245968,3.022248344843103e-05,6.044496689686205e-05,0.00010080485541622988,1.1676653413319533e-05,1.9473306372779375e-05,5.838326706659766e-06,3.8946612745558756e-05,0.003154831805808821,0.003154831805808821
"mp-300003924, LiNb2O4, Li7Nb12O24, mp-758673, mp-766084",-0.013013244898837692,0.7105186222230498,887.1573416849714,-1.8043156667097089,0.15821786663190446,-0.15615893878605225,0.013184822219325376,1675.7973429657602,2.05324965380523,0.7036262084664558,852.1463526122557,-0.009016218412712086,-0.0002827409373916223,-0.003392891248699466,-0.0007513515343926742,-0.0006440018624515216,-0.000142613409047568,-5.366682187096016e-05,-0.0017113609085708152,-0.004897011442424481,-0.004897011442424481
"mp-300004226, CrS2, LiCrS2, mp-755263, mp-4226",0.11075673078595147,1.0,7.058518966318853,-0.6677298076421454,0.11075673078595136,0.11075673078595147,0.11075673078595136,-122.5492529685482,-0.04590158936426952,1.0,7.058518966318853,0.0005085729768737474,0.00021369731421556519,0.00021369731421556519,0.0005085729768737474,6.664253297174324e-05,0.0001586009234802899,6.664253297174324e-05,0.0001586009234802899,0.046538878344945744,0.046538878344945744
"mp-300005127, CuO, Li3(CuO)4, mp-25229, mp-753081",-0.032498653210343835,1.0,-1.4838957955526828,-1.0866630752275837,0.044787056635707735,-0.043331537613791785,0.0335902924767808,-451.90511650867364,0.10123232664922817,1.0,-1.978527727403577,-0.00018269624523478527,-3.592683450954872e-05,-4.790244601273163e-05,-0.00013702218392608892,-1.1656343439702284e-05,-3.3342298100519645e-05,-8.742257579776714e-06,-4.4456397467359524e-05,-0.008521056242258098,-0.008521056242258098
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",0.008596342916217246,1.0,306.4851315058202,-0.9312292566702624,0.02292358110991266,0.022923581109912657,0.008596342916217248,-3518.634761442511,3.0951590415635977,1.0,817.2936840155206,0.0001880967961110282,2.397163062561147e-05,6.392434833496392e-05,7.053629854163559e-05,1.7680647888147144e-05,1.9509427789751274e-05,6.630242958055179e-06,5.202514077267007e-05,0.002921451243957963,0.002921451243957963
"mp-300007543, VS2, LiVS2, mp-9561, mp-7543",0.09915307808207756,1.0,6.294321231859717,-0.7025407657537671,0.09915307808207753,0.09915307808207756,0.09915307808207753,-121.49221850824357,-0.03533089231316034,1.0,6.294321231859717,0.00045138976947458167,0.000252597694876043,0.000252597694876043,0.00045138976947458167,7.914412835481491e-05,0.00014142983320128004,7.914412835481491e-05,0.00014142983320128004,0.05548605807471112,0.05548605807471112
"mp-300007554, MgSnAu, LiMgSnAu, mp-5549, mp-7554",0.08963782119676471,1.0,6.776722394039424,-0.7310865364097059,0.08963782119676478,0.08963782119676471,0.08963782119676478,-346.7046496223963,-0.06352753846337847,1.0,6.776722394039424,0.0011602859425155368,0.0038308843094762616,0.0038308843094762616,0.0011602859425155368,0.0005027427624965227,0.00015226911410067914,0.0005027427624965227,0.00015226911410067914,0.2959547385481889,0.2959547385481889
"mp-300007936, NbS2, Li9(NbS2)14, mp-10033, mp-767218",-0.0225916393744216,1.0,581.898437438859,-1.105427650413967,0.03595482866086438,-0.03514255013798916,0.02311381842484139,-3517.049065298381,6.365293833030865,1.0,905.1753471271139,-0.00032940360426603074,-8.888847809629925e-05,-0.00013827096592757657,-0.00021175945988530546,-3.301598089386185e-05,-5.0563371961469645e-05,-2.1224559146054048e-05,-7.865413416228612e-05,-0.009483101452848556,-0.009483101452848556
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",1.900683905406956,1.0,50.37132082943847,-0.36643869819768143,0.6335613018023185,0.6335613018023186,1.9006839054069555,-94.77653064784846,-0.5962963244330455,1.0,16.79044027647949,0.0011235083930010536,0.0036139787557535213,0.0012046595852511733,0.003370525179003161,0.000404522077994228,0.0011318150505214663,0.001213566233982684,0.00037727168350715554,2.0379706101394266,2.0379706101394266
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",-0.3577077201122098,1.0,-26.525137310807644,-2.0731231603366296,0.5569235865246616,-0.3577077201122098,0.5569235865246616,-102.10454315170105,-0.16498564388721754,1.0,-26.525137310807644,-0.0013678333676957904,-0.0002985895370340583,-0.0002985895370340583,-0.0013678333676957904,-6.855563840315514e-05,-0.0003140521623194938,-6.855563840315514e-05,-0.0003140521623194938,-0.0780853757952537,-0.0780853757952537
