,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300018925, Li5CoO4, Li6CoO4, mp-775093, mp-18925",1.0,2.0,-0.36634236742029663,-0.09601194268174618,0.49389613389362114,18809.0
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",2.0,2.0,0.0,-0.8154873120846371,0.7643240501052109,298.45454545454544
"mp-300018934, V2O5, LiV2O5, mp-25620, mp-18934",3.0,8.0,-3.0972673126061947,-0.125217066827763,0.44635919189860146,32138.428571428572
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",7.0,24.0,-0.5361944772351015,-0.2562113695825612,0.7332443018261317,19914.444444444445
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",3.0,4.0,-0.7147084525958498,0.12367285174527441,0.530626059255486,30446.833333333332
"mp-300018968, LiFeSiO4, Li2FeSiO4, mp-767283, mp-18968",2.0,1.0,-1.8138896478314257,-0.01165237260359353,0.5193056761422079,26260.285714285714
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",1.0,2.0,-2.9176570087091886,0.24319613268897705,0.5683566496832029,31953.7
"mp-300018988, Li13Mn8O24, Li2MnO3, mp-763602, mp-18988",2.0,1.0,0.0,-0.47059133303726186,0.6423678881529064,297.24444444444447
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",3.0,8.0,-2.259387492764659,0.11610811207318565,0.5128662921098932,30398.0
"mp-300019013, V2O5, LiV2O5, mp-510748, mp-19013",3.0,16.0,-3.08246935087653,-0.12521706682776307,0.44635919189860157,32138.428571428572
"mp-300019017, LiFe4(PO4)4, LiFePO4, mp-632692, mp-19017",2.0,1.0,-1.9828649354887236,0.1401082545481108,0.541693707882105,29291.52
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",1.0,4.0,-2.32086618327773,0.05006667244275547,0.5229012122104656,30406.555555555555
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",3.0,8.0,-3.140945485292669,-0.14148461833978102,0.4733558329706204,29985.833333333332
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",1.0,2.0,-2.377447597057172,-0.1587049168944669,0.4675044286184623,27265.4
"mp-300019131, Li2Mn3(BO3)3, LiMnBO3, mp-849566, mp-19131",2.0,1.0,-0.7820404224406367,-0.15913159475200314,0.44148980646529123,24304.058823529413
"mp-300019183, NiO2, Li2NiO2, mp-714876, mp-19183",1.0,4.0,-2.1062385033962348,-0.5321325680068326,0.5548201144291368,29860.0
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",3.0,8.0,-1.311938611374743,-0.2086561701068166,0.49084954655970026,27818.0
"mp-300019279, MnO2, LiMnO2, mp-25558, mp-25542",5.0,6.0,-1.8477074481962403,-0.18750653943075335,0.5023658348407783,29897.666666666668
"mp-300019279, LiMnO2, Li2MnO2, mp-25542, mp-19279",1.0,2.0,-0.816960359265153,-0.14040857009781282,0.4699465053706693,22898.75
"mp-300019308, NiO2, Li2(NiO2)5, mp-543096, mp-762387",1.0,2.0,-1.7834555010197595,-0.5321325680068326,0.5548201144291367,29860.0
"mp-300019308, Li2(NiO2)5, LiNiO2, mp-762387, mp-25587",2.0,1.0,-0.9389999944203715,-0.4147891977052462,0.5029067645500337,26561.29411764706
"mp-300019308, LiNiO2, Li2NiO2, mp-25587, mp-19308",2.0,1.0,-0.9311822146517011,-0.28277790611596143,0.44450424593604293,22850.25
"mp-300019338, MoO2, LiMoO2, mp-714883, mp-19338",1.0,8.0,-2.5349479823985934,0.07245600990950403,0.6949755479568487,29874.0
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",2.0,2.0,-2.7958886680586987,-0.13958613876077627,0.46950689753858255,29930.333333333332
"mp-300019340, Li2V3O6, LiVO2, mp-762271, mp-19340",1.0,4.0,-1.947384664989279,-0.08329235725581106,0.43556790410990337,24797.363636363636
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",1.0,4.0,-1.7693362927726408,-0.08684083895901759,0.4678686670933405,30107.11111111111
"mp-300019408, V2O5, LiV2O5, mp-25643, mp-19408",3.0,8.0,-2.7521226352346377,-0.12521706682776307,0.44635919189860157,32138.428571428572
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",2.0,1.0,0.0,-0.3929536928748343,0.8113092392232831,296.1666666666667
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",2.0,1.0,0.0,-0.39715013228511625,0.7962321824563352,299.5
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",3.0,8.0,-1.344973229340171,-0.24058534281373767,0.4990454556181892,27817.69230769231
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",3.0,4.0,-2.106837978476464,0.2239416899692595,0.5135259696631419,31715.615384615383
"mp-300019511, Li15(FeO4)4, Li35(FeO4)8, mp-767924, mp-853186",1.0,2.0,0.0,-0.4368547967502925,0.6384287621610009,298.85714285714283
"mp-300019511, Li35(FeO4)8, Li5FeO4, mp-853186, mp-19511",2.0,1.0,-0.5759260244070109,-0.15567392755651008,0.42293047802083217,19957.706666666665
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",1.0,4.0,-2.091937051792026,0.14499245856249363,0.4922786849237106,32185.176470588234
"mp-300019615, LiV2(PO4)3, Li2V2(PO4)3, mp-540147, mp-32521",1.0,4.0,-1.8216443970682417,0.12963260049597214,0.4898282977765434,30478.833333333332
"mp-300019615, Li2V2(PO4)3, Li3V2(PO4)3, mp-32521, mp-19615",1.0,4.0,-1.5498281047202842,0.13175876149705432,0.4789343049294015,28964.105263157893
