mp-300032071, LiMo2P3O11
mp-300032076, LiMoP4O13
mp-300032080, LiMo2P3O13
mp-300032087, LiMoP2O7
mp-300032092, LiMoPO5
mp-300032097, LiMo(PO3)4
mp-300032098, LiMo2(PO4)3
mp-300032102, LiMo2P2O11
mp-300032105, LiMoP2O7
mp-300032106, LiMoPO5
mp-300032112, LiMo2P3O13
mp-300032118, LiMo2(PO4)3
mp-300032125, LiMo2P3O13
mp-300032315, LiNi(PO3)4
mp-300032321, LiNiP2O7
mp-300032322, LiNi(PO3)3
mp-300032324, LiNiPO4
mp-300032327, LiNiPO4
mp-300032332, LiNi4(PO4)3
mp-300032338, LiNiP2O7
mp-300032350, LiNiPO4
mp-300032373, Li2Ni3(P2O7)2
mp-300032374, LiNiP2O7
mp-300032375, LiNi2P5O16
mp-300032379, Li3Ni3(PO4)4
mp-300032380, LiNi(PO3)3
mp-300032383, LiNiP2O7
mp-300032384, Li4Ni7(PO4)6
mp-300032389, LiNi2P3O11
mp-300032396, LiNiP2O7
mp-300032400, LiNi(PO3)3
mp-300032405, LiVP2O7
mp-300032411, LiVP2O7
mp-300032420, LiVP2O7
mp-300032425, LiVPO4
mp-300032427, LiVPO5
mp-300032431, LiV2P3O10
mp-300032435, Li2V3(P2O7)2
mp-300032437, LiV3(P3O10)2
mp-300032464, LiV3(P3O10)2
mp-300032476, LiVP2O7
mp-300032483, LiV(PO3)3
mp-300032488, LiVPO5
mp-300032492, LiV(PO3)4
mp-300032494, LiV(PO3)4
mp-300032495, Li3V3(PO4)4
mp-300032502, LiV(PO3)4
mp-300032507, LiV(PO3)4
mp-300032508, LiV2P5O16
mp-300032511, Li3V3(PO4)4
mp-300032515, LiV(PO3)3
mp-300032516, LiV2P3O11
mp-300032523, LiV(PO3)4
mp-300032528, Li3V3(PO4)4
mp-300034121, LiSbS2
mp-300038280, LiTiO2
mp-300504106, LiTiPO4
mp-300504134, LiNi3P3O11
mp-300504167, LiMn6P7O24
mp-300504207, LiSb(PO3)4
mp-300504211, LiSn(PO3)3
mp-300504233, Li4Ni5(P3O11)2
mp-300504250, LiMn4(PO4)3
mp-300504264, LiCuPO4
mp-300504315, LiV6P7O24
mp-300504340, LiSb(PO3)4
mp-300504353, LiSb(PO3)4
mp-300504354, LiBi(PO3)4
mp-300504356, LiCr4(PO4)3
mp-300504358, LiCr6P7O24
mp-300504371, LiNi6P7O24
mp-300504376, Li6Co5(P2O7)4
mp-300504383, Li3Mo4P9O32
