,deltaz,deltaz2,deltay,anisotropyMean,deltax2,deltay2,deltax, max Anisotropy
mp-300757073,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300757100,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300757100,-1.1157320833333335,-1.1157320833333335,-1.1157320833333335,-1.1157320833333335,-1.1157320833333335,-1.1157320833333335,-1.1157320833333335,-1.1157320833333335
mp-300757419,inf,inf,inf,inf,inf,inf,inf,inf
mp-300757434,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300757464,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300757532,inf,inf,inf,inf,inf,inf,inf,inf
mp-300757663,inf,inf,inf,inf,inf,inf,inf,inf
mp-300757673,inf,inf,inf,inf,inf,inf,inf,inf
mp-300757777,inf,inf,inf,inf,inf,inf,inf,inf
mp-300757800,inf,inf,inf,inf,inf,inf,inf,inf
mp-300757800,0.033378954607493704,0.033378954607493704,0.033378954607493704,0.033378954607493704,0.033378954607493704,0.033378954607493704,0.033378954607493704,0.033378954607493704
mp-300757800,0.010983275178061785,0.010983275178061785,0.010983275178061785,0.010983275178061785,0.010983275178061785,0.010983275178061785,0.010983275178061785,0.010983275178061785
mp-300757806,inf,inf,inf,inf,inf,inf,inf,inf
mp-300757884,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300758115,inf,inf,inf,inf,inf,inf,inf,inf
mp-300758218,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300758259,inf,inf,inf,inf,inf,inf,inf,inf
mp-300759185,inf,inf,inf,inf,inf,inf,inf,inf
mp-300759234,1.2721297949584218,1.2721297949584218,1.2721297949584218,1.2721297949584218,1.2721297949584218,1.2721297949584218,1.2721297949584218,1.2721297949584218
mp-300759433,0.292497266604836,0.292497266604836,0.292497266604836,0.292497266604836,0.292497266604836,0.292497266604836,0.292497266604836,0.292497266604836
mp-300759534,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300759673,inf,inf,inf,inf,inf,inf,inf,inf
mp-300759998,0.24281406601828515,0.24281406601828515,0.24281406601828515,0.24281406601828515,0.24281406601828515,0.24281406601828515,0.24281406601828515,0.24281406601828515
mp-300760014,inf,inf,inf,inf,inf,inf,inf,inf
mp-300760419,inf,inf,inf,inf,inf,inf,inf,inf
mp-300760419,0.31323540064966426,0.31323540064966426,0.31323540064966426,0.31323540064966426,0.31323540064966426,0.31323540064966426,0.31323540064966426,0.31323540064966426
mp-300760782,0.0138280551098418,0.0138280551098418,0.0138280551098418,0.0138280551098418,0.0138280551098418,0.0138280551098418,0.0138280551098418,0.0138280551098418
mp-300761021,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761135,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761144,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761298,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761344,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761344,0.04506977393212441,0.04506977393212441,0.04506977393212441,0.04506977393212441,0.04506977393212441,0.04506977393212441,0.04506977393212441,0.04506977393212441
mp-300761367,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761367,2.2138738446702986,2.2138738446702986,2.2138738446702986,2.2138738446702986,2.2138738446702986,2.2138738446702986,2.2138738446702986,2.2138738446702986
mp-300761380,-0.03421670999999993,-0.03421670999999993,-0.03421670999999993,-0.03421670999999993,-0.03421670999999993,-0.03421670999999993,-0.03421670999999993,-0.03421670999999993
mp-300761380,0.03404454368647136,0.03404454368647136,0.03404454368647136,0.03404454368647136,0.03404454368647136,0.03404454368647136,0.03404454368647136,0.03404454368647136
mp-300761381,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761392,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761394,-0.02226339866727164,-0.02226339866727164,-0.02226339866727164,-0.02226339866727164,-0.02226339866727164,-0.02226339866727164,-0.02226339866727164,-0.02226339866727164
mp-300761394,-0.015516512664254243,-0.015516512664254243,-0.015516512664254243,-0.015516512664254243,-0.015516512664254243,-0.015516512664254243,-0.015516512664254243,-0.015516512664254243
mp-300761398,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761399,-0.0768765500000006,-0.0768765500000006,-0.0768765500000006,-0.0768765500000006,-0.0768765500000006,-0.0768765500000006,-0.0768765500000006,-0.0768765500000006
mp-300761403,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761410,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761418,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761451,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761455,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761456,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761456,-0.02088557870898855,-0.02088557870898855,-0.02088557870898855,-0.02088557870898855,-0.02088557870898855,-0.02088557870898855,-0.02088557870898855,-0.02088557870898855
mp-300761461,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761467,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761469,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761481,-0.003218396541423641,-0.003218396541423641,-0.003218396541423641,-0.003218396541423641,-0.003218396541423641,-0.003218396541423641,-0.003218396541423641,-0.003218396541423641
mp-300761486,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761511,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761517,-0.02672510703550035,-0.02672510703550035,-0.02672510703550035,-0.02672510703550035,-0.02672510703550035,-0.02672510703550035,-0.02672510703550035,-0.02672510703550035
mp-300761527,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761533,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761546,-0.034536287875141035,-0.034536287875141035,-0.034536287875141035,-0.034536287875141035,-0.034536287875141035,-0.034536287875141035,-0.034536287875141035,-0.034536287875141035
mp-300761565,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761576,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761583,0.038851601714170236,0.038851601714170236,0.038851601714170236,0.038851601714170236,0.038851601714170236,0.038851601714170236,0.038851601714170236,0.038851601714170236
mp-300761586,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761592,0.03597250180342315,0.03597250180342315,0.03597250180342315,0.03597250180342315,0.03597250180342315,0.03597250180342315,0.03597250180342315,0.03597250180342315
mp-300761598,-0.023255141228172738,-0.023255141228172738,-0.023255141228172738,-0.023255141228172738,-0.023255141228172738,-0.023255141228172738,-0.023255141228172738,-0.023255141228172738
mp-300761602,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761602,-0.08516505374951057,-0.08516505374951057,-0.08516505374951057,-0.08516505374951057,-0.08516505374951057,-0.08516505374951057,-0.08516505374951057,-0.08516505374951057
mp-300761603,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761610,0.0048263182024692606,0.0048263182024692606,0.0048263182024692606,0.0048263182024692606,0.0048263182024692606,0.0048263182024692606,0.0048263182024692606,0.0048263182024692606
mp-300761611,-0.02548464722991684,-0.02548464722991684,-0.02548464722991684,-0.02548464722991684,-0.02548464722991684,-0.02548464722991684,-0.02548464722991684,-0.02548464722991684
mp-300761611,-0.0052832325111982215,-0.0052832325111982215,-0.0052832325111982215,-0.0052832325111982215,-0.0052832325111982215,-0.0052832325111982215,-0.0052832325111982215,-0.0052832325111982215
mp-300761616,0.012773498047304876,0.012773498047304876,0.012773498047304876,0.012773498047304876,0.012773498047304876,0.012773498047304876,0.012773498047304876,0.012773498047304876
mp-300761619,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761626,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761633,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761634,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761650,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761651,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761658,0.10573511787634038,0.10573511787634038,0.10573511787634038,0.10573511787634038,0.10573511787634038,0.10573511787634038,0.10573511787634038,0.10573511787634038
mp-300761661,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761664,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761664,0.02600100363415825,0.02600100363415825,0.02600100363415825,0.02600100363415825,0.02600100363415825,0.02600100363415825,0.02600100363415825,0.02600100363415825
mp-300761673,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761674,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761677,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761715,0.00812300541586064,0.00812300541586064,0.00812300541586064,0.00812300541586064,0.00812300541586064,0.00812300541586064,0.00812300541586064,0.00812300541586064
mp-300761718,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761729,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761732,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761737,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761738,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761748,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761752,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761763,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761767,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761783,-0.012109793226870558,-0.012109793226870558,-0.012109793226870558,-0.012109793226870558,-0.012109793226870558,-0.012109793226870558,-0.012109793226870558,-0.012109793226870558
mp-300761797,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761800,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761801,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761806,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761812,-0.032932279999999814,-0.032932279999999814,-0.032932279999999814,-0.032932279999999814,-0.032932279999999814,-0.032932279999999814,-0.032932279999999814,-0.032932279999999814
mp-300761829,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300761831,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761831,-0.03288858154297891,-0.03288858154297891,-0.03288858154297891,-0.03288858154297891,-0.03288858154297891,-0.03288858154297891,-0.03288858154297891,-0.03288858154297891
mp-300761910,0.3055579712586873,0.3055579712586873,0.3055579712586873,0.3055579712586873,0.3055579712586873,0.3055579712586873,0.3055579712586873,0.3055579712586873
mp-300761911,0.046696545993735405,0.046696545993735405,0.046696545993735405,0.046696545993735405,0.046696545993735405,0.046696545993735405,0.046696545993735405,0.046696545993735405
mp-300761972,0.0008866317653373201,0.0008866317653373201,0.0008866317653373201,0.0008866317653373201,0.0008866317653373201,0.0008866317653373201,0.0008866317653373201,0.0008866317653373201
mp-300761981,0.054596147712068,0.054596147712068,0.054596147712068,0.054596147712068,0.054596147712068,0.054596147712068,0.054596147712068,0.054596147712068
mp-300761981,0.03021200755979425,0.03021200755979425,0.03021200755979425,0.03021200755979425,0.03021200755979425,0.03021200755979425,0.03021200755979425,0.03021200755979425
mp-300761992,0.0702529399999996,0.0702529399999996,0.0702529399999996,0.0702529399999996,0.0702529399999996,0.0702529399999996,0.0702529399999996,0.0702529399999996
mp-300761995,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761996,inf,inf,inf,inf,inf,inf,inf,inf
mp-300761997,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762003,0.03526930694427577,0.03526930694427577,0.03526930694427577,0.03526930694427577,0.03526930694427577,0.03526930694427577,0.03526930694427577,0.03526930694427577
mp-300762018,-0.33042362988211593,-0.33042362988211593,-0.33042362988211593,-0.33042362988211593,-0.33042362988211593,-0.33042362988211593,-0.33042362988211593,-0.33042362988211593
mp-300762019,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762022,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762038,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762042,-0.04156056249999995,-0.04156056249999995,-0.04156056249999995,-0.04156056249999995,-0.04156056249999995,-0.04156056249999995,-0.04156056249999995,-0.04156056249999995
mp-300762048,0.1072012925000001,0.1072012925000001,0.1072012925000001,0.1072012925000001,0.1072012925000001,0.1072012925000001,0.1072012925000001,0.1072012925000001
mp-300762055,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762071,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762111,-0.4652080797095213,-0.4652080797095213,-0.4652080797095213,-0.4652080797095213,-0.4652080797095213,-0.4652080797095213,-0.4652080797095213,-0.4652080797095213
mp-300762163,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762170,-0.03931134238599476,-0.03931134238599476,-0.03931134238599476,-0.03931134238599476,-0.03931134238599476,-0.03931134238599476,-0.03931134238599476,-0.03931134238599476
mp-300762171,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762181,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762200,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762217,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762217,-0.029052627678116668,-0.029052627678116668,-0.029052627678116668,-0.029052627678116668,-0.029052627678116668,-0.029052627678116668,-0.029052627678116668,-0.029052627678116668
mp-300762224,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762234,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762264,-0.469698480902093,-0.469698480902093,-0.469698480902093,-0.469698480902093,-0.469698480902093,-0.469698480902093,-0.469698480902093,-0.469698480902093
mp-300762290,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762355,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762374,2.347501831034081,2.347501831034081,2.347501831034081,2.347501831034081,2.347501831034081,2.347501831034081,2.347501831034081,2.347501831034081
mp-300762388,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762393,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762409,0.038683361475797984,0.038683361475797984,0.038683361475797984,0.038683361475797984,0.038683361475797984,0.038683361475797984,0.038683361475797984,0.038683361475797984
mp-300762426,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762448,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762454,-0.02727220525707219,-0.02727220525707219,-0.02727220525707219,-0.02727220525707219,-0.02727220525707219,-0.02727220525707219,-0.02727220525707219,-0.02727220525707219
mp-300762458,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762459,-0.011790640113914508,-0.011790640113914508,-0.011790640113914508,-0.011790640113914508,-0.011790640113914508,-0.011790640113914508,-0.011790640113914508,-0.011790640113914508
mp-300762462,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762507,0.028005169789967255,0.028005169789967255,0.028005169789967255,0.028005169789967255,0.028005169789967255,0.028005169789967255,0.028005169789967255,0.028005169789967255
mp-300762511,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762540,-0.03737174499999996,-0.03737174499999996,-0.03737174499999996,-0.03737174499999996,-0.03737174499999996,-0.03737174499999996,-0.03737174499999996,-0.03737174499999996
mp-300762542,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762545,0.03930849999999997,0.03930849999999997,0.03930849999999997,0.03930849999999997,0.03930849999999997,0.03930849999999997,0.03930849999999997,0.03930849999999997
mp-300762554,-0.04125085406903084,-0.04125085406903084,-0.04125085406903084,-0.04125085406903084,-0.04125085406903084,-0.04125085406903084,-0.04125085406903084,-0.04125085406903084
mp-300762557,0.1572283915913184,0.1572283915913184,0.1572283915913184,0.1572283915913184,0.1572283915913184,0.1572283915913184,0.1572283915913184,0.1572283915913184
mp-300762575,-0.009510323213303806,-0.009510323213303806,-0.009510323213303806,-0.009510323213303806,-0.009510323213303806,-0.009510323213303806,-0.009510323213303806,-0.009510323213303806
mp-300762583,-0.01179542458877636,-0.01179542458877636,-0.01179542458877636,-0.01179542458877636,-0.01179542458877636,-0.01179542458877636,-0.01179542458877636,-0.01179542458877636
mp-300762613,-0.12872196188520044,-0.12872196188520044,-0.12872196188520044,-0.12872196188520044,-0.12872196188520044,-0.12872196188520044,-0.12872196188520044,-0.12872196188520044
mp-300762657,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762664,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762666,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762677,0.011648083698703626,0.011648083698703626,0.011648083698703626,0.011648083698703626,0.011648083698703626,0.011648083698703626,0.011648083698703626,0.011648083698703626
mp-300762677,0.0028271460393688073,0.0028271460393688073,0.0028271460393688073,0.0028271460393688073,0.0028271460393688073,0.0028271460393688073,0.0028271460393688073,0.0028271460393688073
mp-300762678,-0.050074120058750886,-0.050074120058750886,-0.050074120058750886,-0.050074120058750886,-0.050074120058750886,-0.050074120058750886,-0.050074120058750886,-0.050074120058750886
mp-300762716,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762716,-0.009038783621975629,-0.009038783621975629,-0.009038783621975629,-0.009038783621975629,-0.009038783621975629,-0.009038783621975629,-0.009038783621975629,-0.009038783621975629
mp-300762735,0.05266191295325662,0.05266191295325662,0.05266191295325662,0.05266191295325662,0.05266191295325662,0.05266191295325662,0.05266191295325662,0.05266191295325662
mp-300762765,-0.9133853594318572,-0.9133853594318572,-0.9133853594318572,-0.9133853594318572,-0.9133853594318572,-0.9133853594318572,-0.9133853594318572,-0.9133853594318572
mp-300762765,-0.10769561921250788,-0.10769561921250788,-0.10769561921250788,-0.10769561921250788,-0.10769561921250788,-0.10769561921250788,-0.10769561921250788,-0.10769561921250788
mp-300762781,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300762785,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762792,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762797,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762797,0.1969127424622001,0.1969127424622001,0.1969127424622001,0.1969127424622001,0.1969127424622001,0.1969127424622001,0.1969127424622001,0.1969127424622001
mp-300762797,-0.04524359489988439,-0.04524359489988439,-0.04524359489988439,-0.04524359489988439,-0.04524359489988439,-0.04524359489988439,-0.04524359489988439,-0.04524359489988439
mp-300762800,-0.04012001386843567,-0.04012001386843567,-0.04012001386843567,-0.04012001386843567,-0.04012001386843567,-0.04012001386843567,-0.04012001386843567,-0.04012001386843567
mp-300762800,0.05935128257895705,0.05935128257895705,0.05935128257895705,0.05935128257895705,0.05935128257895705,0.05935128257895705,0.05935128257895705,0.05935128257895705
mp-300762805,-0.004090978770800113,-0.004090978770800113,-0.004090978770800113,-0.004090978770800113,-0.004090978770800113,-0.004090978770800113,-0.004090978770800113,-0.004090978770800113
mp-300762832,0.021710546539207787,0.021710546539207787,0.021710546539207787,0.021710546539207787,0.021710546539207787,0.021710546539207787,0.021710546539207787,0.021710546539207787
mp-300762865,inf,inf,inf,inf,inf,inf,inf,inf
mp-300762876,0.006607985409974536,0.006607985409974536,0.006607985409974536,0.006607985409974536,0.006607985409974536,0.006607985409974536,0.006607985409974536,0.006607985409974536
mp-300762903,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763014,0.22511920749999992,0.22511920749999992,0.22511920749999992,0.22511920749999992,0.22511920749999992,0.22511920749999992,0.22511920749999992,0.22511920749999992
mp-300763014,0.006258802499999994,0.006258802499999994,0.006258802499999994,0.006258802499999994,0.006258802499999994,0.006258802499999994,0.006258802499999994,0.006258802499999994
mp-300763025,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763044,0.1445063620023075,0.1445063620023075,0.1445063620023075,0.1445063620023075,0.1445063620023075,0.1445063620023075,0.1445063620023075,0.1445063620023075
mp-300763051,-0.505958008533981,-0.505958008533981,-0.505958008533981,-0.505958008533981,-0.505958008533981,-0.505958008533981,-0.505958008533981,-0.505958008533981
mp-300763060,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763102,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763115,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763122,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763132,0.042237430997768666,0.042237430997768666,0.042237430997768666,0.042237430997768666,0.042237430997768666,0.042237430997768666,0.042237430997768666,0.042237430997768666
mp-300763157,0.021225456238932242,0.021225456238932242,0.021225456238932242,0.021225456238932242,0.021225456238932242,0.021225456238932242,0.021225456238932242,0.021225456238932242
mp-300763178,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763186,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763264,0.014620656429190191,0.014620656429190191,0.014620656429190191,0.014620656429190191,0.014620656429190191,0.014620656429190191,0.014620656429190191,0.014620656429190191
mp-300763280,0.0280677979356756,0.0280677979356756,0.0280677979356756,0.0280677979356756,0.0280677979356756,0.0280677979356756,0.0280677979356756,0.0280677979356756
mp-300763301,-0.08113812632710182,-0.08113812632710182,-0.08113812632710182,-0.08113812632710182,-0.08113812632710182,-0.08113812632710182,-0.08113812632710182,-0.08113812632710182
mp-300763307,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763309,-0.2560996253178445,-0.2560996253178445,-0.2560996253178445,-0.2560996253178445,-0.2560996253178445,-0.2560996253178445,-0.2560996253178445,-0.2560996253178445
mp-300763332,0.09027158999999996,0.09027158999999996,0.09027158999999996,0.09027158999999996,0.09027158999999996,0.09027158999999996,0.09027158999999996,0.09027158999999996
mp-300763334,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763348,0.6081859529686251,0.6081859529686251,0.6081859529686251,0.6081859529686251,0.6081859529686251,0.6081859529686251,0.6081859529686251,0.6081859529686251
mp-300763349,1.2105330625,1.2105330625,1.2105330625,1.2105330625,1.2105330625,1.2105330625,1.2105330625,1.2105330625
mp-300763355,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763367,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763370,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763373,3.1731052552093315,3.1731052552093315,3.1731052552093315,3.1731052552093315,3.1731052552093315,3.1731052552093315,3.1731052552093315,3.1731052552093315
mp-300763391,-0.012495193058889686,-0.012495193058889686,-0.012495193058889686,-0.012495193058889686,-0.012495193058889686,-0.012495193058889686,-0.012495193058889686,-0.012495193058889686
mp-300763392,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763396,-0.01220485488317724,-0.01220485488317724,-0.01220485488317724,-0.01220485488317724,-0.01220485488317724,-0.01220485488317724,-0.01220485488317724,-0.01220485488317724
mp-300763403,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763407,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763414,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763430,0.006221012898818935,0.006221012898818935,0.006221012898818935,0.006221012898818935,0.006221012898818935,0.006221012898818935,0.006221012898818935,0.006221012898818935
mp-300763431,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763437,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763439,-1.252341965,-1.252341965,-1.252341965,-1.252341965,-1.252341965,-1.252341965,-1.252341965,-1.252341965
mp-300763439,1.27631653,1.27631653,1.27631653,1.27631653,1.27631653,1.27631653,1.27631653,1.27631653
mp-300763440,-0.00699356929697416,-0.00699356929697416,-0.00699356929697416,-0.00699356929697416,-0.00699356929697416,-0.00699356929697416,-0.00699356929697416,-0.00699356929697416
mp-300763452,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763455,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763459,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763462,-0.015534417834289847,-0.015534417834289847,-0.015534417834289847,-0.015534417834289847,-0.015534417834289847,-0.015534417834289847,-0.015534417834289847,-0.015534417834289847
mp-300763463,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763466,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763479,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763483,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763486,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763488,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763492,0.0019281004204978022,0.0019281004204978022,0.0019281004204978022,0.0019281004204978022,0.0019281004204978022,0.0019281004204978022,0.0019281004204978022,0.0019281004204978022
mp-300763512,-0.04244991827347189,-0.04244991827347189,-0.04244991827347189,-0.04244991827347189,-0.04244991827347189,-0.04244991827347189,-0.04244991827347189,-0.04244991827347189
mp-300763515,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763519,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763520,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763525,0.029319426254436582,0.029319426254436582,0.029319426254436582,0.029319426254436582,0.029319426254436582,0.029319426254436582,0.029319426254436582,0.029319426254436582
mp-300763525,0.004764110081427225,0.004764110081427225,0.004764110081427225,0.004764110081427225,0.004764110081427225,0.004764110081427225,0.004764110081427225,0.004764110081427225
mp-300763526,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763533,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763539,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763543,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763561,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763561,-0.1396532634494525,-0.1396532634494525,-0.1396532634494525,-0.1396532634494525,-0.1396532634494525,-0.1396532634494525,-0.1396532634494525,-0.1396532634494525
mp-300763566,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763587,inf,inf,inf,inf,inf,inf,inf,inf
mp-300763600,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763606,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763606,0.007481008430689774,0.007481008430689774,0.007481008430689774,0.007481008430689774,0.007481008430689774,0.007481008430689774,0.007481008430689774,0.007481008430689774
mp-300763612,-0.0055684989539877,-0.0055684989539877,-0.0055684989539877,-0.0055684989539877,-0.0055684989539877,-0.0055684989539877,-0.0055684989539877,-0.0055684989539877
mp-300763612,-0.03802329965291373,-0.03802329965291373,-0.03802329965291373,-0.03802329965291373,-0.03802329965291373,-0.03802329965291373,-0.03802329965291373,-0.03802329965291373
mp-300763620,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763647,-0.9350869735897499,-0.9350869735897499,-0.9350869735897499,-0.9350869735897499,-0.9350869735897499,-0.9350869735897499,-0.9350869735897499,-0.9350869735897499
mp-300763649,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300763666,-0.23074517368841185,-0.23074517368841185,-0.23074517368841185,-0.23074517368841185,-0.23074517368841185,-0.23074517368841185,-0.23074517368841185,-0.23074517368841185
mp-300763679,3.711586793475651,3.711586793475651,3.711586793475651,3.711586793475651,3.711586793475651,3.711586793475651,3.711586793475651,3.711586793475651
mp-300763684,-0.015786556289629626,-0.015786556289629626,-0.015786556289629626,-0.015786556289629626,-0.015786556289629626,-0.015786556289629626,-0.015786556289629626,-0.015786556289629626
mp-300763781,-0.7420069678013841,-0.7420069678013841,-0.7420069678013841,-0.7420069678013841,-0.7420069678013841,-0.7420069678013841,-0.7420069678013841,-0.7420069678013841
